HUC_8,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
02050104,3583,3583000000,0,31.045,31.045,22.7433,2.3183,81489.3
02050106,5190,5190000000,0,31.501,31.501,22.5164,2.8961,116860
02050107,4582,4582000000,0,36.504,36.504,23.5295,3.4981,107812
02050201,4133,4133000000,0,35.539,35.539,25.6988,2.4913,106213
02050202,2682,2682000000,19.932,30.863,10.931,27.8926,1.2185,74807.9
02050203,2027,2027000000,0,33.286,33.286,25.2932,2.1144,51269.3
02050204,2001,2001000000,0,34.078,34.078,24.2251,3.0761,48474.5
02050205,2542,2542000000,0,32.124,32.124,24.3559,1.9302,61912.8
02050206,4673,4673000000,0,32.039,32.039,22.4416,2.2527,104870
02050302,2566,2566000000,0,32.71,32.71,25.4836,1.8053,65391
02050303,2487,2487000000,0,33.366,33.366,25.7531,3.9496,64048.1
02070001,3833,3833000000,0,39.132,39.132,29.1868,2.4896,111873
02070002,3477,3477000000,0,33.136,33.136,27.4765,2.7372,95535.8
03150105,4144,4144000000,0,42.045,42.045,24.7374,6.0126,102512
03150106,6688,6688000000,0,40.563,40.563,23.1993,4.8353,155157
03150202,4733,4733000000,0,42.115,42.115,25.766,2.3917,121950
03160101,4662,4662000000,0,44.255,44.255,29.0168,5.8105,135276
03160103,2247,2247000000,0,37.924,37.924,31.2572,2.7788,70234.9
03160105,2062,2062000000,0,44.301,44.301,29.1917,3.0843,60193.2
03160106,4225,4225000000,0,46.321,46.321,28.5053,5.4299,120435
03160107,2041,2041000000,0,44.396,44.396,28.9566,3.2967,59100.4
03160109,3562,3562000000,0,36.685,36.685,24.2203,3.4967,86272.6
03160110,2582,2582000000,0,34.994,34.994,21.5858,5.9675,55734.5
03160111,3136,3136000000,0,34.595,34.595,23.8536,3.7744,74804.8
03160112,3218,3218000000,0,45.007,45.007,24.5472,5.4697,78992.9
03160113,3761,3761000000,0,46.26,46.26,29.2959,5.319,110182
04100011,4705,4705000000,0,38.028,38.028,23.199,2.478,109151
04100012,1971,1971000000,0,30.907,30.907,24.4651,2.3606,48220.7
04110001,2313,2313000000,0,32.15,32.15,24.3725,4.1451,56373.7
04110002,2098,2098000000,0,34.203,34.203,23.8062,5.8001,49945.4
04110003,1633,1633000000,0,31.451,31.451,24.0064,6.0858,39202.5
04110004,1828,1828000000,0,32.329,32.329,26.0999,1.9417,47710.6
04120101,2230,2230000000,0,28.892,28.892,23.6348,4.4561,52705.7
04130002,3688,3688000000,0,32.546,32.546,22.0898,2.4119,81467.2
05010001,6724,6724000000,0,33.111,33.111,26.0019,3.3555,174837
05010002,2330,2330000000,0,33.133,33.133,25.0335,5.3451,58328
05010003,4361,4361000000,0,37.226,37.226,27.6194,2.5262,120448
05010004,3197,3197000000,0,37.721,37.721,26.6292,3.1559,85133.6
05010005,3230,3230000000,0,34.095,34.095,27.2396,1.8795,87983.9
05010006,4361,4361000000,0,36.401,36.401,27.1607,2.5118,118448
05010007,3560,3560000000,0,35.061,35.061,27.2975,2.8738,97179.1
05010008,1333,1333000000,0,37.679,37.679,29.2677,3.097,39013.8
05010009,1283,1283000000,0,33.016,33.016,27.4767,7.0591,35252.7
05020001,3564,3564000000,0,38.018,38.018,31.4588,1.9203,112119
05020002,2280,2280000000,0,40.029,40.029,31.9632,2.6905,72876
05020003,1200,1200000000,0,38.811,38.811,30.9322,2.5994,37118.7
05020004,3679,3679000000,0,35.391,35.391,30.3176,1.8489,111539
05020005,3819,3819000000,0,39.6,39.6,28.644,6.2893,109391
05020006,4570,4570000000,0,38.617,38.617,29.0428,3.2849,132726
05030101,5142,5142000000,0,36.837,36.837,27.4343,6.3211,141067
05030102,2761,2761000000,0,37.446,37.446,24.988,5.8019,68991.9
05030103,2958,2958000000,0,34.799,34.799,24.2867,5.0923,71840
05030104,291,291000000,0,33.974,33.974,26.2842,7.687,7648.71
05030105,2168,2168000000,0,36.34,36.34,26.8671,3.6883,58247.9
05030106,3915,3915000000,0,37.848,37.848,29.8804,3.2955,116982
05030201,4696,4696000000,0,37.183,37.183,27.9913,2.9523,131447
05030202,3673,3673000000,0,40.257,40.257,25.8241,4.4173,94851.7
05030203,5980,5980000000,0,37.678,37.678,28.3756,1.6687,169686
05030204,3101,3101000000,0,38.163,38.163,25.8312,1.948,80102.6
05040001,6715,6715000000,0,39.246,39.246,26.9581,3.6707,181023
05040002,2608,2608000000,0,35.206,35.206,27.492,3.4392,71699.2
05040003,3228,3228000000,0,39.13,39.13,28.0144,2.8229,90430.3
05040004,4066,4066000000,0,38.235,38.235,25.768,2.1668,104773
05040005,2204,2204000000,0,36.807,36.807,26.4887,4.3069,58381.2
05040006,2019,2019000000,0,34.209,34.209,26.1984,3.496,52894.6
05050002,4348,4348000000,0,34.418,34.418,26.3215,2.0801,114446
05050003,4256,4256000000,0,36.618,36.618,28.3078,2.045,120478
05050004,1794,1794000000,0,40.908,40.908,28.7501,2.5818,51577.7
05050005,3677,3677000000,0,38.728,38.728,30.7544,2.7192,113084
05050006,1338,1338000000,0,39.005,39.005,29.126,2.7363,38970.5
05050007,3978,3978000000,0,36.689,36.689,30.2111,2.6279,120180
05050008,2393,2393000000,0,37.303,37.303,26.0137,3.0974,62250.9
05050009,2311,2311000000,0,39.496,39.496,29.0517,1.8356,67138.5
05060001,8283,8283000000,0,37.557,37.557,24.9381,2.4952,206562
05060002,5617,5617000000,0,35.231,35.231,25.6789,2.4108,144239
05060003,2964,2964000000,0,33.525,33.525,23.3839,3.1743,69310
05070101,2430,2430000000,0,35.852,35.852,30.0107,2.0762,72925.9
05070102,1917,1917000000,0,33.263,33.263,27.6201,1.9877,52947.7
05070201,4034,4034000000,23.963,33.892,9.929,29.7976,1.8417,120204
05070202,3138,3138000000,0,40.675,40.675,28.5626,1.9257,89629.4
05070203,2877,2877000000,0,40.844,40.844,29.7393,1.511,85559.9
05070204,1067,1067000000,0,41.58,41.58,28.887,3.2877,30822.5
05090101,3776,3776000000,0,38.398,38.398,25.9254,3.9164,97894.2
05090102,1151,1151000000,0,38.412,38.412,27.9085,1.6545,32122.7
05090103,2614,2614000000,0,37.111,37.111,26.3738,3.5248,68941.1
05090104,1875,1875000000,0,33.103,33.103,28.9368,1.8154,54256.5
05090201,5448,5448000000,0,35.849,35.849,23.6296,4.222,128734
05100101,7199,7199000000,0,41.195,41.195,28.2723,3.7514,203532
05100102,2391,2391000000,22.614,34.569,11.955,27.929,2.4062,66778.2
05100201,3429,3429000000,10.696,33.899,23.203,28.6371,1.8592,98196.7
05100202,1444,1444000000,0,40.04,40.04,30.6795,2.0323,44301.2
05100203,1939,1939000000,22.999,34.771,11.772,29.791,1.3835,57764.7
05100204,2840,2840000000,0,40.805,40.805,31.0214,2.3073,88100.7
05100205,8395,8395000000,0,39.513,39.513,27.1305,2.3646,227760
05110001,8121,8121000000,0,41.584,41.584,28.6518,3.6201,232681
05130101,6044,6044000000,0,36.536,36.536,29.5154,3.5028,178391
05130102,1978,1978000000,9.108,32.043,22.935,27.5993,1.954,54591.5
05130103,4872,4872000000,0,41.521,41.521,27.6526,6.6588,134723
05130104,3586,3586000000,0,36.107,36.107,28.7591,2.5006,103130
05130105,2455,2455000000,0,40.797,40.797,28.4352,6.7615,69808.4
05130106,2057,2057000000,0,39.882,39.882,28.6513,4.9894,58935.8
05130107,2037,2037000000,0,39.105,39.105,27.9636,2.3397,56961.8
05130108,4657,4657000000,0,42.723,42.723,27.2467,4.5641,126888
05130203,2418,2418000000,0,41.368,41.368,26.1829,5.2707,63310.4
06010201,3504,3504000000,0,43.948,43.948,26.3175,8.0394,92216.6
06010205,5096,5096000000,0,42.337,42.337,27.3311,4.5594,139279
06010206,2444,2444000000,0,38.229,38.229,29.3344,3.9471,71693.2
06010207,1642,1642000000,0,38.054,38.054,26.2311,4.1453,43071.4
06010208,2248,2248000000,0,40.366,40.366,30.396,3.3316,68330.1
06020001,4842,4842000000,0,43.703,43.703,27.139,6.4177,131407
06020004,1556,1556000000,23.617,35.424,11.807,29.0866,1.8523,45258.8
06030001,5161,5161000000,0,42.667,42.667,25.6242,8.0172,132246
06030002,7498,7498000000,0,39.921,39.921,24.5937,5.9513,184403
