HUC_8,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
02050104,3583,3583000000,0,34.179,34.179,28.0796,2.7786,100609
02050106,5190,5190000000,0,35.326,35.326,28.0605,3.2333,145634
02050107,4582,4582000000,0,37.38,37.38,30.0623,4.3243,137746
02050201,4133,4133000000,0,36.52,36.52,32.1599,2.6822,132917
02050202,2682,2682000000,24.354,35.014,10.66,31.9249,1.2144,85622.6
02050203,2027,2027000000,0,38.077,38.077,32.0255,1.8825,64915.8
02050204,2001,2001000000,0,36.297,36.297,32.2067,3.709,64445.6
02050205,2542,2542000000,0,35.302,35.302,29.821,2.0898,75805
02050206,4673,4673000000,0,37.632,37.632,31.348,2.7086,146489
02050302,2566,2566000000,0,36.169,36.169,31.647,1.5963,81206.2
02050303,2487,2487000000,0,35.407,35.407,29.9581,4.322,74505.9
02070001,3833,3833000000,0,41.696,41.696,32.204,2.1433,123438
02070002,3477,3477000000,0,35.554,35.554,30.8537,2.6157,107278
03150105,4144,4144000000,0,45.414,45.414,34.1173,7.6147,141382
03150106,6688,6688000000,0,48.423,48.423,35.418,6.7877,236875
03150202,4733,4733000000,0,47.143,47.143,34.6365,3.3347,163934
03160101,4662,4662000000,0,46.442,46.442,38.266,7.2704,178396
03160103,2247,2247000000,0,44.251,44.251,37.9515,2.6787,85276.9
03160105,2062,2062000000,0,46.448,46.448,38.2992,3.2801,78973
03160106,4225,4225000000,0,48.21,48.21,38.7929,6.666,163900
03160107,2041,2041000000,0,47.966,47.966,38.7068,4.8372,79000.5
03160109,3562,3562000000,0,43.993,43.993,33.9697,4.2592,121000
03160110,2582,2582000000,0,42.321,42.321,30.6482,8.1443,79133.8
03160111,3136,3136000000,0,43.1,43.1,34.0287,5.1559,106714
03160112,3218,3218000000,0,48.07,48.07,32.8523,7.4525,105719
03160113,3761,3761000000,0,48.503,48.503,37.3324,6.544,140407
04100011,4705,4705000000,0,36.614,36.614,26.4967,2.5834,124667
