HUC_8,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
02050104,3583,3583000000,0,41.906,41.906,5.2645,2.5876,18862.9
02050106,5190,5190000000,0,42.051,42.051,6.8305,2.099,35450.1
02050107,4582,4582000000,0,58.331,58.331,7.2124,2.6443,33047.1
02050201,4133,4133000000,0,29.291,29.291,6.28,2.4673,25955
02050202,2682,2682000000,2.607,19.743,17.136,9.872,2.4937,26476.8
02050203,2027,2027000000,0,19.986,19.986,9.079,2.4186,18403.2
02050204,2001,2001000000,0,23.382,23.382,7.1064,2.5222,14220
02050205,2542,2542000000,0,37.834,37.834,8.0419,2.1205,20442.6
02050206,4673,4673000000,0,53.24,53.24,7.7783,2.8108,36348
02050302,2566,2566000000,0,12.807,12.807,5.3347,1.497,13688.9
02050303,2487,2487000000,0,12.963,12.963,4.5734,1.2893,11374
02070001,3833,3833000000,0,62.64,62.64,6.4047,4.8442,24549.1
02070002,3477,3477000000,0,31.345,31.345,5.6162,3.3445,19527.7
03150105,4144,4144000000,0,34.104,34.104,9.6356,4.5045,39929.9
03150106,6688,6688000000,0,55.241,55.241,11.9129,4.9934,79673.5
03150202,4733,4733000000,0,75.301,75.301,11.815,5.6369,55920.5
03160101,4662,4662000000,0,57.754,57.754,10.7801,5.3353,50256.9
03160103,2247,2247000000,0,64.486,64.486,14.6705,7.9768,32964.5
03160105,2062,2062000000,0,76.957,76.957,13.7918,6.1072,28438.7
03160106,4225,4225000000,0,79.906,79.906,9.0674,5.607,38309.8
03160107,2041,2041000000,0,85.236,85.236,13.283,7.6819,27110.6
03160109,3562,3562000000,0,89.57,89.57,12.7397,10.6856,45378.8
03160110,2582,2582000000,0,78.569,78.569,12.0821,7.6073,31195.9
03160111,3136,3136000000,0,47.573,47.573,11.5724,6.5563,36291.1
03160112,3218,3218000000,0,116.962,116.962,13.9813,9.8718,44991.8
03160113,3761,3761000000,0,64.669,64.669,10.4209,7.0758,39192.9
04100011,4705,4705000000,0,34.147,34.147,3.7248,1.8182,17525.2
04100012,1971,1971000000,0,18.137,18.137,3.9657,1.592,7816.31
04110001,2313,2313000000,0,14.85,14.85,3.5501,1.3246,8211.44
04110002,2098,2098000000,0,48.914,48.914,5.6779,3.327,11912.2
04110003,1633,1633000000,0,36.409,36.409,4.857,2.8418,7931.39
04110004,1828,1828000000,0,15.135,15.135,4.0832,1.2669,7464.06
04120101,2230,2230000000,0,22.796,22.796,5.391,2.8266,12022
