HUC_8,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
02050104,3583,3583000000,0,33.013,33.013,24.338,2.3267,87203.2
02050106,5190,5190000000,0,33.778,33.778,27.6679,3.1807,143597
02050107,4582,4582000000,0,37.14,37.14,29.5747,4.0882,135511
02050201,4133,4133000000,0,35.18,35.18,29.5104,2.4195,121966
02050202,2682,2682000000,20.763,32.784,12.021,27.8983,1.6504,74823.2
02050203,2027,2027000000,0,35.078,35.078,27.2635,1.9099,55263.1
02050204,2001,2001000000,0,34.375,34.375,29.8087,3.4176,59647.3
02050205,2542,2542000000,0,32.408,32.408,25.4365,1.8897,64659.7
02050206,4673,4673000000,0,37.201,37.201,29.2992,2.5954,136915
02050302,2566,2566000000,0,33.92,33.92,29.5288,1.6762,75771
02050303,2487,2487000000,0,34.443,34.443,28.1835,4.0165,70092.3
02070001,3833,3833000000,0,40.133,40.133,33.5166,2.281,128469
02070002,3477,3477000000,0,37.216,37.216,30.3531,3.049,105538
03150105,4144,4144000000,0,45.736,45.736,32.793,7.5588,135894
03150106,6688,6688000000,0,47.156,47.156,33.05,6.76,221038
03150202,4733,4733000000,0,45.538,45.538,31.2466,4.7473,147890
03160101,4662,4662000000,0,45.56,45.56,35.3199,7.0588,164661
03160103,2247,2247000000,0,43.079,43.079,36.2771,3.2244,81514.7
03160105,2062,2062000000,0,47.382,47.382,35.2554,3.7895,72696.7
03160106,4225,4225000000,0,46.491,46.491,33.1494,6.0056,140056
03160107,2041,2041000000,0,43.22,43.22,34.2717,4.3753,69948.6
03160109,3562,3562000000,0,43.989,43.989,32.9373,4.338,117322
03160110,2582,2582000000,0,43.761,43.761,29.0635,7.9815,75042
03160111,3136,3136000000,0,42.618,42.618,32.2883,5.3589,101256
03160112,3218,3218000000,0,45.263,45.263,29.9238,6.4281,96294.8
03160113,3761,3761000000,0,47.594,47.594,31.9614,6.325,120207
04100011,4705,4705000000,0,37.741,37.741,28.7496,2.3897,135267
04100012,1971,1971000000,0,33.982,33.982,28.794,2.516,56753.1
04110001,2313,2313000000,0,35.304,35.304,30.2196,4.9385,69898
04110002,2098,2098000000,0,35.803,35.803,29.7454,7.0663,62405.9
04110003,1633,1633000000,0,34.24,34.24,28.7585,7.1816,46962.6
04110004,1828,1828000000,0,34.668,34.668,30.9317,1.9219,56543.1
04120101,2230,2230000000,0,31.584,31.584,27.0353,4.6059,60288.7
04130002,3688,3688000000,0,33.802,33.802,25.3321,2.4617,93424.7
05010001,6724,6724000000,0,33.117,33.117,27.4051,2.9806,184272
05010002,2330,2330000000,0,33.117,33.117,26.8666,5.2276,62599.1
05010003,4361,4361000000,0,37.195,37.195,29.9871,2.581,130774
05010004,3197,3197000000,0,36.885,36.885,28.8153,3.1766,92122.4
05010005,3230,3230000000,0,35.139,35.139,29.3451,2.0461,94784.6
05010006,4361,4361000000,0,36.653,36.653,30.5815,2.4238,133366
05010007,3560,3560000000,0,34.777,34.777,29.4474,2.851,104833
05010008,1333,1333000000,0,37.462,37.462,31.1662,3.0281,41544.5
05010009,1283,1283000000,0,33.214,33.214,29.0227,7.2883,37236.1
05020001,3564,3564000000,0,40.678,40.678,35.3038,2.4576,125823
05020002,2280,2280000000,0,41.786,41.786,37.7935,2.7712,86169.3
05020003,1200,1200000000,0,41.091,41.091,37.8873,2.9105,45464.7
05020004,3679,3679000000,0,38.856,38.856,33.8302,2.4219,124461
05020005,3819,3819000000,0,40.483,40.483,34.1778,7.7177,130525
05020006,4570,4570000000,0,39.528,39.528,31.9597,3.809,146056
05030101,5142,5142000000,0,36.751,36.751,29.2803,6.62,150559
05030102,2761,2761000000,0,36.598,36.598,28.5276,6.5286,78764.8
05030103,2958,2958000000,0,36.514,36.514,29.965,6.1279,88636.5
05030104,291,291000000,0,35.599,35.599,28.4015,8.2262,8264.84
05030105,2168,2168000000,0,35.73,35.73,30.276,3.7825,65638.4
05030106,3915,3915000000,0,39.231,39.231,34.4175,3.9239,134745
05030201,4696,4696000000,0,41.847,41.847,36.387,3.1816,170873
05030202,3673,3673000000,0,42.017,42.017,33.2104,5.4965,121982
05030203,5980,5980000000,0,41.599,41.599,36.2127,1.3081,216552
05030204,3101,3101000000,0,40.911,40.911,35.0263,2.2564,108616
05040001,6715,6715000000,0,39.104,39.104,32.8568,3.8828,220633
05040002,2608,2608000000,0,35.041,35.041,29.5293,3.217,77012.5
05040003,3228,3228000000,0,38.578,38.578,30.604,2.5714,98789.8
05040004,4066,4066000000,0,40.631,40.631,33.9499,2.917,138040
05040005,2204,2204000000,0,39.274,39.274,33.1532,5.1651,73069.6
05040006,2019,2019000000,0,38.078,38.078,31.299,4.1569,63192.8
05050002,4348,4348000000,0,37.809,37.809,31.1772,2.2739,135559
05050003,4256,4256000000,0,38.367,38.367,30.1166,1.6113,128176
05050004,1794,1794000000,0,43.083,43.083,31.9528,3.1387,57323.3
05050005,3677,3677000000,0,42.296,42.296,33.2722,3.4892,122342
05050006,1338,1338000000,0,43.033,43.033,35.5595,3.3824,47578.6
05050007,3978,3978000000,0,41.587,41.587,35.8494,2.6517,142609
05050008,2393,2393000000,0,41.808,41.808,34.0474,3.792,81475.4
05050009,2311,2311000000,0,40.852,40.852,36.7775,2.3515,84992.9
05060001,8283,8283000000,0,39.702,39.702,30.8699,3.2399,255695
05060002,5617,5617000000,0,40.657,40.657,33.6977,2.4479,189280
05060003,2964,2964000000,0,38.353,38.353,31.2092,2.9888,92503.9
05070101,2430,2430000000,0,40.543,40.543,35.7974,2.7615,86987.8
05070102,1917,1917000000,0,40.137,40.137,37.1639,1.9231,71243.1
05070201,4034,4034000000,30.295,41.891,11.596,37.4956,2.6011,151257
05070202,3138,3138000000,0,43.684,43.684,38.2308,1.9809,119968
05070203,2877,2877000000,0,44.65,44.65,39.7,1.621,114217
05070204,1067,1067000000,0,44.325,44.325,38.0782,3.8609,40629.4
05090101,3776,3776000000,0,41.435,41.435,34.1327,4.965,128885
05090102,1151,1151000000,0,43.943,43.943,37.7045,1.9231,43397.9
05090103,2614,2614000000,0,41.926,41.926,35.4209,4.3887,92590.3
05090104,1875,1875000000,0,40.943,40.943,37.6568,1.5185,70606.5
05090201,5448,5448000000,0,42.386,42.386,33.1869,5.5008,180802
05100101,7199,7199000000,0,42.237,42.237,37.0304,3.3014,266582
05100102,2391,2391000000,32.036,40.732,8.696,36.6159,1.1248,87548.7
05100201,3429,3429000000,16.502,42.889,26.387,40.3652,1.4836,138412
05100202,1444,1444000000,0,44.105,44.105,41.1266,1.983,59386.8
05100203,1939,1939000000,34.617,42.901,8.284,40.3939,1.2667,78323.7
05100204,2840,2840000000,0,42.687,42.687,37.0224,2.4787,105144
05100205,8395,8395000000,0,42.101,42.101,34.1985,2.1251,287096
