HUC_8,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
02050104,3583,3583000000,27.314,37.951,10.637,31.0892,1.8,111393
02050106,5190,5190000000,23.5,42.398,18.898,32.1089,2.7129,166645
02050107,4582,4582000000,22.831,44.013,21.182,30.8805,3.3623,141495
02050201,4133,4133000000,32.355,47.629,15.274,40.0882,3.1265,165684
02050202,2682,2682000000,32.943,45.897,12.954,39.4321,2.3346,105757
02050203,2027,2027000000,30.98,45.392,14.412,37.1179,1.8596,75238
02050204,2001,2001000000,28.576,47.914,19.338,35.1703,3.5702,70375.7
02050205,2542,2542000000,30.31,40.431,10.121,35.0047,1.7034,88982.1
02050206,4673,4673000000,28.065,47.041,18.976,34.2999,3.3018,160284
02050302,2566,2566000000,31.169,47.86,16.691,37.4798,3.3177,96173.3
02050303,2487,2487000000,32.199,49.206,17.007,38.0791,2.8073,94702.7
02070001,3833,3833000000,31.18,59.052,27.872,39.1572,4.8117,150089
02070002,3477,3477000000,33.106,61.767,28.661,41.9084,6.6742,145716
03150105,4144,4144000000,54.997,66.259,11.262,59.0754,1.8343,244809
03150106,6688,6688000000,50.038,69.173,19.135,57.5745,2.9047,385058
03150202,4733,4733000000,51.215,68.226,17.011,59.8096,3.355,283079
03160101,4662,4662000000,51.106,67.715,16.609,59.3066,3.7753,276488
03160103,2247,2247000000,62.202,69.054,6.852,65.9602,1.2574,148213
03160105,2062,2062000000,60.234,68.896,8.662,64.8386,1.523,133697
03160106,4225,4225000000,56.457,66.534,10.077,61.3532,1.6685,259217
03160107,2041,2041000000,59.205,69.055,9.85,63.5374,2.258,129680
03160109,3562,3562000000,60.508,72.285,11.777,64.7362,2.0594,230590
03160110,2582,2582000000,57.948,67.752,9.804,63.6235,1.4088,164276
03160111,3136,3136000000,56.931,68.148,11.217,62.65,2.1866,196470
03160112,3218,3218000000,57.95,67.203,9.253,62.2516,1.6783,200326
03160113,3761,3761000000,54.285,65.193,10.908,59.6581,2.432,224374
04100011,4705,4705000000,29.755,41.725,11.97,35.6124,2.3327,167557
04100012,1971,1971000000,29.952,40.55,10.598,35.0077,2.0951,69000.3
04110001,2313,2313000000,31.131,46.335,15.204,36.964,3.2362,85497.7
04110002,2098,2098000000,33.572,46.728,13.156,41.8504,2.6928,87802
04110003,1633,1633000000,33.302,49.882,16.58,41.4822,3.4834,67740.4
04110004,1828,1828000000,37.075,47.239,10.164,42.3105,2.0487,77343.6
04120101,2230,2230000000,37.785,56.538,18.753,47.2701,3.9341,105412
04130002,3688,3688000000,25.9,45.003,19.103,35.0368,3.2952,129216
05010001,6724,6724000000,31.016,52.672,21.656,43.8092,4.5655,294573
05010002,2330,2330000000,41.804,54.562,12.758,46.6689,2.309,108738
05010003,4361,4361000000,41.33,51.566,10.236,47.5983,1.4949,207576
05010004,3197,3197000000,43.923,56.849,12.926,49.2693,2.0892,157514
05010005,3230,3230000000,39.877,50.502,10.625,46.0356,2.0481,148695
05010006,4361,4361000000,40.037,50.424,10.387,46.1428,1.9219,201229
05010007,3560,3560000000,41.06,55.422,14.362,47.1562,2.3323,167876
05010008,1333,1333000000,40.38,52.986,12.606,45.2486,1.6541,60316.4
05010009,1283,1283000000,40.149,48.614,8.465,43.796,1.6978,56190.3
05020001,3564,3564000000,48.22,68.618,20.398,54.8074,2.9804,195334
05020002,2280,2280000000,47.939,57.002,9.063,52.1739,1.5734,118956
05020003,1200,1200000000,45.774,56.295,10.521,50.2862,2.1723,60343.4
05020004,3679,3679000000,45.736,63.657,17.921,54.2409,3.7027,199552
05020005,3819,3819000000,38.65,55.312,16.662,45.8646,2.9759,175157
05020006,4570,4570000000,38.648,60.943,22.295,45.1255,4.1484,206223
05030101,5142,5142000000,40.31,55.982,15.672,48.1396,3.2807,247534
05030102,2761,2761000000,40.383,50.903,10.52,44.9602,1.7654,124135
05030103,2958,2958000000,38.183,51.333,13.15,43.1693,2.7035,127695
05030104,291,291000000,41.767,48.891,7.124,45.7963,1.5786,13326.7
05030105,2168,2168000000,41.408,49.443,8.035,45.7845,1.7187,99260.8
05030106,3915,3915000000,45.506,56.058,10.552,51.6714,1.899,202293
05030201,4696,4696000000,41.926,56.175,14.249,49.1685,2.7921,230895
05030202,3673,3673000000,41.259,49.76,8.501,45.8269,1.3918,168322
05030203,5980,5980000000,43.344,58.537,15.193,49.8043,2.1084,297830
05030204,3101,3101000000,41.413,49.523,8.11,45.9532,1.4469,142501
05040001,6715,6715000000,36.454,58.146,21.692,47.425,4.686,318459
05040002,2608,2608000000,36.603,49.955,13.352,41.6331,2.7177,108579
05040003,3228,3228000000,36.927,51.178,14.251,45.199,2.9746,145902
05040004,4066,4066000000,40.985,50.976,9.991,46.1181,1.9775,187516
05040005,2204,2204000000,44.563,57.67,13.107,49.0168,2.2218,108033
05040006,2019,2019000000,40.155,50.591,10.436,44.5365,2.1166,89919.2
