HUC_8,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
02050104,3583,3583000000,27.832,45.908,18.076,36.2069,3.4855,129729
02050106,5190,5190000000,31.765,55.946,24.181,40.4899,4.6052,210142
02050107,4582,4582000000,36.999,57.402,20.403,45.3639,4.6206,207857
02050201,4133,4133000000,38.494,52.003,13.509,44.1413,2.4225,182436
02050202,2682,2682000000,39.678,51.807,12.129,46.1349,2.2938,123734
02050203,2027,2027000000,35.86,50.152,14.292,41.8278,2.245,84784.9
02050204,2001,2001000000,36.133,52.004,15.871,42.363,3.6017,84768.5
02050205,2542,2542000000,28.893,44.639,15.746,36.0226,3.0869,91569.4
02050206,4673,4673000000,32.827,55,22.173,41.2536,4.8315,192778
02050302,2566,2566000000,35.309,50.434,15.125,40.4375,3.147,103763
02050303,2487,2487000000,33.298,48.182,14.884,38.1279,2.6044,94824.2
02070001,3833,3833000000,32.165,52.082,19.917,39.0189,3.8423,149559
02070002,3477,3477000000,31.724,49.17,17.446,38.1898,3.9412,132786
03150105,4144,4144000000,36.765,52.87,16.105,42.2322,2.7733,175010
03150106,6688,6688000000,39.801,63.939,24.138,46.1701,2.6368,308786
03150202,4733,4733000000,41.341,57.715,16.374,48.2592,3.2985,228411
03160101,4662,4662000000,40.785,52.795,12.01,46.4046,2.4006,216338
03160103,2247,2247000000,40.909,50.154,9.245,46.5647,1.4888,104631
03160105,2062,2062000000,40.316,47.915,7.599,44.5309,1.4967,91822.7
03160106,4225,4225000000,39.916,54.999,15.083,45.3549,3.4438,191625
03160107,2041,2041000000,41.534,49.802,8.268,45.4322,1.4111,92727
03160109,3562,3562000000,39.096,56.615,17.519,46.8538,4.351,166893
03160110,2582,2582000000,41.736,55.192,13.456,50.2469,2.3505,129737
03160111,3136,3136000000,38.268,55.745,17.477,46.9636,3.4502,147278
03160112,3218,3218000000,43.817,56.456,12.639,48.6918,2.5871,156690
03160113,3761,3761000000,45.072,57.989,12.917,50.0424,2.2275,188209
04100011,4705,4705000000,27.944,39.088,11.144,34.4368,1.9865,162025
04100012,1971,1971000000,33.616,40.904,7.288,36.5803,1.4054,72099.8
04110001,2313,2313000000,32.517,45.428,12.911,37.3685,1.6513,86433.4
04110002,2098,2098000000,31.57,48.774,17.204,38.6945,3.4774,81181
04110003,1633,1633000000,38.021,55.034,17.013,44.457,3.8714,72598.2
04110004,1828,1828000000,37.901,51.725,13.824,44.3513,3.2448,81074.2
04120101,2230,2230000000,33.774,54.756,20.982,46.9003,4.9833,104588
04130002,3688,3688000000,29.955,52.126,22.171,41.1705,4.1426,151837
05010001,6724,6724000000,40.622,55.472,14.85,48.3557,2.7418,325144
05010002,2330,2330000000,40.662,51.847,11.185,45.9722,2.331,107115
05010003,4361,4361000000,44.442,57.67,13.228,51.8009,2.4463,225904
05010004,3197,3197000000,45.781,57.754,11.973,51.07,2.0566,163271
05010005,3230,3230000000,42.468,54.322,11.854,47.7585,2.2113,154260
05010006,4361,4361000000,40.898,49.676,8.778,44.8391,1.1339,195543
05010007,3560,3560000000,37.116,55.468,18.352,45.109,2.9992,160588
05010008,1333,1333000000,42.389,54.011,11.622,46.3487,2.1245,61782.8
05010009,1283,1283000000,35.27,46.454,11.184,43.5104,2.1225,55823.9
05020001,3564,3564000000,37.004,57.943,20.939,44.0152,4.143,156870
