HUC_8,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
02050104,3583,3583000000,30.856,48.147,17.291,38.0321,2.9966,136269
02050106,5190,5190000000,35.618,57.671,22.053,42.9528,3.5215,222925
02050107,4582,4582000000,38.535,57.512,18.977,45.8613,3.4862,210136
02050201,4133,4133000000,37.508,62.402,24.894,46.3192,4.0079,191437
02050202,2682,2682000000,38.178,52.005,13.827,45.4405,2.1871,121871
02050203,2027,2027000000,35.654,48.346,12.692,41.406,2.0391,83930
02050204,2001,2001000000,35.429,55.269,19.84,43.141,3.4184,86325.2
02050205,2542,2542000000,32.709,45.983,13.274,37.9246,2.6217,96404.3
02050206,4673,4673000000,36.605,55.665,19.06,43.7096,4.0181,204255
02050302,2566,2566000000,36.564,64.874,28.31,44.6245,5.3672,114506
02050303,2487,2487000000,39.682,65.272,25.59,47.6046,3.6732,118393
02070001,3833,3833000000,36.771,78.431,41.66,50.4281,7.8308,193291
02070002,3477,3477000000,38.537,66.288,27.751,47.9223,5.7206,166626
03150105,4144,4144000000,67.713,87.044,19.331,75.3829,3.6415,312387
03150106,6688,6688000000,60.118,87.796,27.678,68.1652,4.3758,455889
03150202,4733,4733000000,53.499,71.931,18.432,63.2819,3.3786,299513
03160101,4662,4662000000,68.501,81.812,13.311,74.5967,2.644,347770
03160103,2247,2247000000,72.198,81.331,9.133,75.655,1.5975,169997
03160105,2062,2062000000,71.064,81.253,10.189,75.5555,1.5556,155796
03160106,4225,4225000000,59.839,79.059,19.22,68.1297,4.0639,287848
03160107,2041,2041000000,62.676,77.796,15.12,70.8205,3.8971,144545
03160109,3562,3562000000,63.065,80.907,17.842,70.1858,2.6709,250002
03160110,2582,2582000000,65.902,79.525,13.623,73.2096,2.3403,189027
03160111,3136,3136000000,60.985,78.7,17.715,68.6583,3.1538,215312
03160112,3218,3218000000,62.833,75.509,12.676,69.0465,2.6143,222192
03160113,3761,3761000000,55.714,70.91,15.196,62.2655,2.8505,234180
04100011,4705,4705000000,31.249,39.914,8.665,34.3508,1.5332,161621
04100012,1971,1971000000,33.34,43.068,9.728,37.1618,2.3014,73245.9
04110001,2313,2313000000,35.771,51.217,15.446,41.7824,2.2676,96642.6
04110002,2098,2098000000,36.599,52.273,15.674,42.6341,2.9797,89446.3
04110003,1633,1633000000,40.742,54.328,13.586,46.0474,2.6222,75195.4
04110004,1828,1828000000,40.225,52.985,12.76,46.0953,2.9734,84262.2
04120101,2230,2230000000,33.141,58.538,25.397,45.2842,4.114,100984
04130002,3688,3688000000,34.392,51.998,17.606,42.79,3.3689,157810
05010001,6724,6724000000,38.844,56.177,17.333,47.8185,3.5601,321532
05010002,2330,2330000000,44.365,57.629,13.264,49.9669,2.5099,116423
05010003,4361,4361000000,43.802,59.836,16.034,51.787,3.0858,225843
05010004,3197,3197000000,44.315,57.828,13.513,49.6887,2.531,158855
05010005,3230,3230000000,43.972,55.542,11.57,48.9829,2.0113,158215
05010006,4361,4361000000,41.764,53.337,11.573,46.829,1.7939,204221
05010007,3560,3560000000,45.549,66.017,20.468,53.0073,3.7239,188706
05010008,1333,1333000000,43.336,57.638,14.302,49.9379,2.8491,66567.2
05010009,1283,1283000000,36.875,49.206,12.331,45.7814,1.8357,58737.5
05020001,3564,3564000000,53.933,78.112,24.179,64.6031,4.1227,230245
05020002,2280,2280000000,53.459,72.397,18.938,62.4766,3.4158,142447
05020003,1200,1200000000,47.038,63.657,16.619,55.6839,3.5644,66820.6
05020004,3679,3679000000,47.391,73.34,25.949,62.3389,4.8404,229345
