HUC_8,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
02050104,3583,3583000000,22.787,36.845,14.058,29.4346,2.6156,105464
02050106,5190,5190000000,25.903,43.737,17.834,33.0135,3.137,171340
02050107,4582,4582000000,31.178,48.382,17.204,38.386,2.7103,175884
02050201,4133,4133000000,32.033,43.652,11.619,37.3195,2.0136,154241
02050202,2682,2682000000,32.513,43.141,10.628,37.497,1.9647,100567
02050203,2027,2027000000,30.228,43.817,13.589,36.0897,1.9747,73153.8
02050204,2001,2001000000,28.417,46.294,17.877,35.7885,3.7809,71612.8
02050205,2542,2542000000,24.444,41.606,17.162,32.0578,3.0643,81490.9
02050206,4673,4673000000,29.837,44.876,15.039,36.3877,3.4093,170040
02050302,2566,2566000000,26.286,47.246,20.96,32.7139,3.6091,83943.9
02050303,2487,2487000000,22.435,42.004,19.569,28.1756,3.077,70072.7
02070001,3833,3833000000,24.644,54.283,29.639,35.2507,6.4986,135116
02070002,3477,3477000000,24.996,48.188,23.192,32.4312,5.2312,112763
03150105,4144,4144000000,49.486,73.699,24.213,56.6653,5.0471,234821
03150106,6688,6688000000,49.127,81.222,32.095,55.4472,3.9142,370831
03150202,4733,4733000000,48.974,65.59,16.616,57.9238,2.925,274153
03160101,4662,4662000000,69.485,95.551,26.066,85.2667,7.5279,397513
03160103,2247,2247000000,70.626,91.058,20.432,81.4948,4.07,183119
03160105,2062,2062000000,69.605,83.422,13.817,74.7303,2.2915,154094
03160106,4225,4225000000,63.068,75.237,12.169,68.8465,2.5464,290876
03160107,2041,2041000000,60.389,81.692,21.303,70.3079,5.4331,143499
03160109,3562,3562000000,54.801,80.625,25.824,67.0861,7.6604,238961
03160110,2582,2582000000,58.618,81.651,23.033,70.3025,5.2081,181521
03160111,3136,3136000000,51.375,68.971,17.596,56.6284,2.8053,177587
03160112,3218,3218000000,54.722,78.304,23.582,63.8706,6.1689,205536
03160113,3761,3761000000,54.367,72.125,17.758,62.8272,3.7454,236293
04100011,4705,4705000000,22.511,30.032,7.521,26.5432,2.0495,124886
04100012,1971,1971000000,25.067,29.05,3.983,27.4514,0.78207,54106.8
04110001,2313,2313000000,23.496,35.775,12.279,28.1013,2.2908,64998.3
04110002,2098,2098000000,21.096,36.88,15.784,28.2489,3.6136,59266.1
04110003,1633,1633000000,27.824,36.88,9.056,32.1141,1.6722,52442.3
04110004,1828,1828000000,27.237,37.827,10.59,31.8826,2.3092,58281.5
04120101,2230,2230000000,27.625,46.368,18.743,35.0719,3.754,78210.4
04130002,3688,3688000000,27.199,41.177,13.978,33.2982,2.51,122804
05010001,6724,6724000000,30.697,49.641,18.944,38.8736,3.4716,261386
05010002,2330,2330000000,36.838,50.899,14.061,43.3221,2.5512,100941
05010003,4361,4361000000,30.067,45.854,15.787,39.0954,2.6097,170495
05010004,3197,3197000000,28.098,45.897,17.799,35.5895,3.4323,113780
05010005,3230,3230000000,33.333,42.869,9.536,37.775,1.6967,122013
05010006,4361,4361000000,27.747,40.422,12.675,34.8275,2.2029,151883
05010007,3560,3560000000,34.012,48.975,14.963,39.2853,2.1331,139856
05010008,1333,1333000000,29.756,49.287,19.531,38.0457,4.027,50714.9
05010009,1283,1283000000,29.366,35.7,6.334,32.6691,1.0705,41914.4
05020001,3564,3564000000,37.001,63.028,26.027,48.7484,5.242,173739
05020002,2280,2280000000,36.88,53.146,16.266,45.742,3.319,104292
05020003,1200,1200000000,33.213,46.337,13.124,39.3296,2.9804,47195.6
05020004,3679,3679000000,33.413,59.568,26.155,46.5001,4.8366,171074
05020005,3819,3819000000,30.623,50.032,19.409,36.2008,2.2235,138251
05020006,4570,4570000000,32.631,49.835,17.204,39.9013,3.4144,182349
05030101,5142,5142000000,26.762,36.997,10.235,31.5653,2.1553,162309
05030102,2761,2761000000,26.602,35.27,8.668,30.4306,1.7813,84019
05030103,2958,2958000000,24.361,32.911,8.55,28.0815,1.5331,83065.1
05030104,291,291000000,27.707,34.242,6.535,31.7032,1.4818,9225.63
05030105,2168,2168000000,28.771,38.101,9.33,33.3013,1.2993,72197.2
05030106,3915,3915000000,29.836,49.756,19.92,38.5191,3.6098,150802
05030201,4696,4696000000,29.88,51.254,21.374,44.65,3.8449,209676
05030202,3673,3673000000,38.148,49.211,11.063,43.699,2.458,160506
05030203,5980,5980000000,42.868,60.158,17.29,47.8227,2.3575,285980
05030204,3101,3101000000,31.887,48.025,16.138,36.4567,3.3152,113052
05040001,6715,6715000000,22.67,38.85,16.18,28.5681,3.0156,191835
05040002,2608,2608000000,23.184,32.318,9.134,27.2666,1.3503,71111.3
05040003,3228,3228000000,24.045,32.794,8.749,28.3111,1.42,91388.3
05040004,4066,4066000000,26.29,48.774,22.484,33.6307,5.7742,136742
05040005,2204,2204000000,26.327,41.611,15.284,29.6116,2.7149,65264
05040006,2019,2019000000,27.55,34.555,7.005,30.8587,1.3863,62303.7
05050002,4348,4348000000,31.81,54.44,22.63,40.1772,3.9131,174690
05050003,4256,4256000000,34.515,56.769,22.254,43.7624,4.8542,186253
05050004,1794,1794000000,36.176,51.335,15.159,44.0707,2.6593,79062.9
05050005,3677,3677000000,42.195,61.963,19.768,50.7804,3.3916,186719
05050006,1338,1338000000,41.369,52.008,10.639,46.348,1.5781,62013.6
05050007,3978,3978000000,43.22,62.871,19.651,51.7564,3.8748,205887
05050008,2393,2393000000,40.391,49.791,9.4,45.2929,1.3551,108386
05050009,2311,2311000000,43.695,58.337,14.642,49.8578,2.6764,115221
05060001,8283,8283000000,23.492,34.916,11.424,28.17,2.5273,233332
05060002,5617,5617000000,29.291,51.375,22.084,37.924,4.4701,213019
05060003,2964,2964000000,31.414,44.323,12.909,36.724,2.9407,108850
05070101,2430,2430000000,42.951,59.202,16.251,49.7078,2.8285,120790
05070102,1917,1917000000,41.925,55.751,13.826,46.8762,2.1287,89861.7
05070201,4034,4034000000,39.449,53.902,14.453,46.8959,2.7344,189178
05070202,3138,3138000000,45.193,65.625,20.432,52.1469,2.5004,163637
05070203,2877,2877000000,36.889,59.841,22.952,48.278,5.0771,138896
05070204,1067,1067000000,37.913,47.006,9.093,42.6354,1.7195,45492
05090101,3776,3776000000,36.922,48.621,11.699,42.0296,2.6027,158704
05090102,1151,1151000000,39.524,51.018,11.494,44.7347,1.851,51489.6
05090103,2614,2614000000,39.244,52.719,13.475,44.1194,2.6283,115328
05090104,1875,1875000000,40.235,51.491,11.256,44.1331,1.9442,82749.6
05090201,5448,5448000000,38.579,54.799,16.22,45.0774,2.5453,245582
05100101,7199,7199000000,38.656,57.871,19.215,47.6898,3.6711,343319
