HUC_8,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
03160106,32.9091,29.0458,38.0206,35.6873,34.7033,36.9082,32.0068,31.1396,35.2412,40.3449,34.901,38.2136,35.9355,34.5644,38.0476,35.1291,37.7625,39.7491,35.772,35.2126,27.8231,36.7423,34.612,40.8387,38.7929,39.437,30.6736,28.5053,37.0601,40.9682,32.9636,33.1494
03160107,32.3613,30.7343,38.9603,35.2235,34.2578,37.6604,32.5074,30.2928,34.2093,39.4706,35.9404,36.6498,36.477,34.3328,38.6024,35.6119,38.7099,39.6247,35.3596,34.4515,27.2489,38.1782,36.8232,41.1024,38.7068,39.8402,31.3865,28.9566,36.1486,40.5207,33.253,34.2717
03160109,28.5236,29.262,33.8842,30.0998,31.2275,33.8143,29.4266,27.6395,29.0255,34.578,32.1517,33.748,35.6999,31.1844,36.5828,30.2393,35.5824,36.1152,31.0044,30.1113,26.0937,35.2206,35.037,34.3196,33.9697,33.0185,29.7824,24.2203,33.3348,38.582,29.8737,32.9373
03160110,25.7847,27.4725,32.4562,26.66,27.7552,30.7233,26.7827,27.3577,26.495,31.5542,29.0772,30.0758,32.359,28.9102,33.5027,28.4608,31.8064,31.8355,28.9474,27.3554,24.2755,31.2981,32.1238,32.5287,30.6482,29.3846,27.9512,21.5858,29.9451,35.3507,27.4765,29.0635
03160111,28.0911,29.0049,32.9506,28.9344,31.0899,32.3987,28.0737,27.3022,29.4689,33.2224,30.7101,32.3452,34.8277,28.955,35.2156,29.6131,34.2929,34.6322,29.9931,29.7457,26.399,34.7836,34.3432,33.1617,34.0287,32.432,30.3817,23.8536,31.9119,37.778,29.0048,32.2883
03160112,28.3823,27.8681,33.1541,30.7893,32.2654,33.316,28.8965,28.2026,29.5178,34.7887,30.8743,33.4502,33.3373,31.5368,34.3103,29.7436,33.8765,35.7653,31.577,28.5392,22.8264,35.0893,32.3622,34.9659,32.8523,34.043,28.8178,24.5472,32.0904,36.0648,31.0753,29.9238
03160113,33.7276,31.1472,37.0314,35.3413,37.0414,35.8979,30.8237,32.8501,34.4294,38.0926,34.152,37.1585,37.119,34.8467,38.209,34.0111,37.3826,39.4986,36.3441,33.7874,27.6272,36.6708,33.4553,39.4709,37.3324,40.4287,31.2643,29.2959,34.9465,39.6149,33.1279,31.9614
04100011,25.6878,26.9972,22.416,24.1935,24.0727,24.4659,27.251,26.2681,18.7279,24.531,29.6953,20.8503,27.577,20.3872,21.2092,25.1417,24.1946,25.3534,26.3852,21.7554,28.8475,23.6073,23.1008,28.7798,26.4967,23.7038,27.8019,23.199,24.1179,24.0152,24.6857,28.7496
04100012,25.7934,27.7967,24.2614,25.6872,24.22,24.6885,26.3122,26.8385,18.9704,25.4396,28.9607,20.7773,27.464,19.5488,21.9542,25.796,24.9658,25.8425,26.3178,22.2748,29.5406,22.2259,23.8966,28.4812,27.3672,24.391,27.4266,24.4651,24.9511,24.2449,25.6887,28.794
04110001,26.5257,28.2625,24.259,26.6582,26.33,24.5389,24.9855,27.3646,20.4725,27.7096,28.9609,21.2306,27.4112,21.2592,23.3752,25.7679,25.367,25.5662,25.753,23.7995,29.4513,22.9349,24.524,29.5436,28.4946,25.1472,28.6173,24.3725,25.978,25.0463,27.6186,30.2196
04110002,27.2023,27.9155,23.4071,26.5757,27.1572,24.9258,24.6766,26.2005,21.6407,26.8634,29.2402,20.2501,27.3813,22.5778,23.8206,25.8144,26.3655,23.752,24.3901,23.9373,28.6146,22.4241,24.0307,29.3698,27.5518,24.5866,29.1488,23.8062,26.0853,25.0343,25.9144,29.7454
04110003,27.0955,28.2481,23.3253,26.2571,27.1582,24.5659,25.4897,27.2116,21.665,26.0689,27.7171,21.1727,26.9861,24.03,24.5194,24.0264,27.2927,23.1717,22.8855,23.7415,27.676,21.7647,22.752,27.6499,26.4385,24.4917,28.8917,24.0064,27.167,24.5922,24.6258,28.7585
04110004,29.3008,30.0447,24.922,27.7235,29.4072,26.8479,28.3108,29.3489,24.2405,28.6578,30.42,22.9465,29.1052,26.1438,26.5683,25.53,30.2675,24.9149,24.4479,25.6795,29.3314,23.9215,25.4161,29.9426,29.1118,26.7042,31.4024,26.0999,29.8412,26.5858,27.4776,30.9317
04120101,26.5913,26.6496,26.1325,27.398,26.8911,24.9174,27.0278,27.8067,24.3137,26.0648,28.3742,21.8408,26.7086,24.8424,25.764,22.1236,27.6133,24.8753,24.0351,22.795,28.368,23.8671,25.1817,27.6424,27.7328,23.7128,27.0525,23.6348,27.9659,26.3936,27.1756,27.0353
04130002,22.2494,26.7209,23.7695,23.7891,26.8106,22.0164,26.0256,26.7068,22.9835,24.5748,25.9106,21.4591,25.5354,22.0228,25.319,21.3922,24.8999,25.3284,26.9613,23.9449,27.7118,21.4349,26.0598,27.1403,27.7543,22.7127,27.4866,22.0898,25.8573,25.4599,26.7778,25.3321
05010001,26.9964,28.4949,27.1019,28.206,29.9063,26.643,28.7579,29.8736,25.6976,26.7994,29.9634,24.6333,27.933,26.3459,29.7918,24.9391,28.6969,28.7451,28.4325,25.7855,29.0122,24.674,28.3692,29.0188,29.6018,24.5586,28.9636,26.0019,28.3762,28.7192,28.5685,27.4051
05010002,25.6426,26.8685,26.4856,26.5014,27.7858,25.1537,28.5241,27.0133,25.9753,26.5007,29.2174,24.1391,26.8376,26.0669,27.9758,23.4225,28.0881,26.9158,26.2348,24.2043,28.1045,24.2215,27.0635,27.4996,27.6402,23.9302,26.2873,25.0335,28.1906,28.3542,28.018,26.8666
05010003,29.4105,31.1883,28.9879,31.0297,32.2341,29.5424,31.1721,33.2088,27.8014,29.5897,32.2655,25.8659,29.5026,28.1781,30.3489,27.6584,30.9143,28.8126,27.46,27.4931,30.7346,26.8763,30.1879,31.116,32.0835,26.1204,31.9736,27.6194,30.8255,31.0208,29.8047,29.9871
05010004,28.7535,29.7436,28.2798,29.5016,30.2333,28.3023,29.8131,31.3218,27.0571,28.9427,30.7097,23.3694,29.1083,26.7083,28.0402,24.7126,29.8928,26.6588,24.6889,25.452,30.3569,26.4305,27.6199,30.3592,30.7078,26.3341,30.2735,26.6292,30.4393,29.2252,28.1956,28.8153
05010005,29.0044,30.6206,28.4651,30.5702,31.7417,29.0392,29.8524,31.3281,25.7478,28.1847,32.177,25.3409,27.9401,26.6965,30.2157,26.1021,29.8286,28.9735,28.0671,27.3205,29.7242,26.2818,29.6211,29.7348,30.8717,24.6088,31.3068,27.2396,28.5454,30.2193,28.6595,29.3451
05010006,30.7439,31.3673,27.456,29.234,31.6714,27.4562,29.7823,31.6524,24.4802,28.8057,33.1064,24.0903,27.6849,27.0943,30.4935,27.1297,30.9284,28.0939,27.3454,27.2223,30.2846,27.0261,29.6416,31.6268,32.5179,25.299,31.8737,27.1607,28.8846,30.5758,29.5772,30.5815
05010007,30.7285,30.6042,27.8185,27.53,31.697,26.8714,27.9189,30.0966,27.427,31.1733,31.9203,24.9034,27.752,28.6327,29.42,27.3522,32.6415,27.9593,29.4832,27.0339,30.4479,25.6448,28.8833,32.0918,32.5265,24.5564,30.9769,27.2975,28.5698,28.1567,29.5731,29.4474
05010008,31.8223,32.1148,28.3354,28.7247,32.1996,29.0871,29.0148,32.6913,27.2837,30.7715,33.416,25.335,28.5137,28.3979,30.254,27.5944,32.9758,28.067,29.1962,27.302,31.667,27.2753,29.271,33.5062,32.618,26.2488,32.6303,29.2677,29.3413,29.9057,30.4124,31.1662
05010009,30.2284,30.7271,25.5445,28.1138,30.1275,26.8227,27.5455,30.4838,22.0735,27.4521,32.4729,22.4492,26.6084,26.143,27.7815,26.1103,29.2281,26.3697,26.5957,25.6371,28.9711,25.3668,27.356,30.6582,31.1355,24.6935,30.3668,27.4767,26.9531,28.4133,29.1813,29.0227
05020001,33.4838,34.5367,32.3016,29.9895,32.7878,31.4958,32.0799,29.3419,27.9569,34.9258,35.968,27.666,31.0527,28.0067,31.9058,29.091,34.7295,31.1919,32.6919,27.8357,33.5002,32.1464,32.0214,34.2529,34.4011,29.1068,32.1799,31.4588,30.6499,31.1198,30.7602,35.3038
05020002,36.0392,35.9198,32.0399,30.9579,33.553,31.4621,31.1121,30.2983,27.484,37.4178,38.7367,28.6042,33.5739,29.5732,33.9516,32.2861,37.2329,33.6609,32.9428,28.2922,35.7486,35.4274,33.8523,37.1648,36.9288,30.4628,34.0815,31.9632,33.0059,32.6434,32.5329,37.7935
05020003,33.3245,34.6985,29.5389,29.5359,32.3311,30.2169,30.1146,33.1736,28.1075,34.3168,36.5015,24.5991,30.9055,28.8061,32.8319,30.1138,35.2976,31.8796,31.3897,26.9119,34.3361,34.0581,33.3487,35.395,34.6708,28.3256,32.7479,30.9322,33.4121,31.3613,31.4393,37.8873
05020004,31.4531,32.4402,30.9604,27.6234,31.0806,30.4791,30.8501,29.1929,27.612,32.617,33.6108,26.3832,29.7611,28.0165,30.8495,28.1055,33.0456,30.1429,31.1526,26.6161,32.1885,30.7748,31.1453,32.3777,32.5179,28.2931,31.0409,30.3176,30.8163,29.4132,28.8493,33.8302
05020005,31.7142,31.9622,26.2654,29.6376,29.4578,29.5611,28.2658,29.8609,25.7758,29.8124,32.9992,23.2161,27.7797,28.2327,28.5195,26.7363,31.9888,27.3293,28.7705,26.5939,30.3526,29.5819,29.4653,32.7559,32.1298,25.2187,29.7184,28.644,29.7466,28.5637,27.6814,34.1778
05020006,30.4396,31.1624,27.558,27.1717,30.5511,29.476,28.1899,29.6392,27.7465,30.9573,32.7411,24.4422,28.4363,28.9197,29.3638,27.3468,32.7728,28.334,29.8301,25.8246,31.4553,29.0578,30.1013,31.9241,31.6583,25.8868,30.2187,29.0428,30.881,29.1946,28.6715,31.9597
05030101,30.9804,30.201,24.8553,28.825,28.5881,26.1653,24.6466,28.1579,21.9792,26.4208,31.8269,22.3687,27.2689,24.9346,27.4794,25.6418,28.6751,26.2311,27.1209,24.6838,29.1879,25.3926,26.0375,31.0613,31.4558,25.709,29.4826,27.4343,26.7471,26.5605,26.1264,29.2803
