HUC_8,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
02050104,3583,3583000000,0,40.506,40.506,4.1959,2.2241,15034
02050106,5190,5190000000,0,36.06,36.06,5.8389,1.6658,30303.8
02050107,4582,4582000000,0,54.962,54.962,6.8498,2.5922,31385.9
02050201,4133,4133000000,0,36.54,36.54,6.8487,2.613,28305.9
02050202,2682,2682000000,2.978,18.794,15.816,8.8165,1.9491,23645.8
02050203,2027,2027000000,0,25.03,25.03,7.4012,2.018,15002.2
02050204,2001,2001000000,0,27.239,27.239,7.8579,2.5868,15723.6
02050205,2542,2542000000,0,33.155,33.155,6.06,1.614,15404.6
02050206,4673,4673000000,0,39.781,39.781,6.4819,2.5609,30289.7
02050302,2566,2566000000,0,14.735,14.735,6.1439,1.7144,15765.3
02050303,2487,2487000000,0,15.974,15.974,5.6173,1.7295,13970.2
02070001,3833,3833000000,0,58.519,58.519,7.2449,4.338,27769.8
02070002,3477,3477000000,0,36.766,36.766,7.1201,3.5474,24756.8
03150105,4144,4144000000,0,29.134,29.134,9.5326,4.5789,39503.1
03150106,6688,6688000000,0,46.998,46.998,11.5494,5.1735,77242.1
03150202,4733,4733000000,0,55.786,55.786,11.2074,5.6854,53044.8
03160101,4662,4662000000,0,49.526,49.526,8.767,4.5203,40871.9
03160103,2247,2247000000,0,60.017,60.017,14.3915,7.996,32337.7
03160105,2062,2062000000,0,77.743,77.743,13.2599,5.8915,27342
03160106,4225,4225000000,0,58.907,58.907,8.0879,5.0956,34171.3
03160107,2041,2041000000,0,69.43,69.43,10.85,6.3044,22144.9
03160109,3562,3562000000,0,68.667,68.667,10.258,8.4198,36539.1
03160110,2582,2582000000,0,56.463,56.463,9.8196,5.8421,25354.1
03160111,3136,3136000000,0,40.952,40.952,10.2455,5.6611,32130
03160112,3218,3218000000,0,80.389,80.389,10.457,7.1602,33650.7
03160113,3761,3761000000,0,51.997,51.997,8.7917,5.9072,33065.5
04100011,4705,4705000000,0,38.577,38.577,3.1697,1.7377,14913.6
04100012,1971,1971000000,0,19.437,19.437,3.9757,1.9421,7836.12
04110001,2313,2313000000,0,14.467,14.467,2.8332,1.0746,6553.15
04110002,2098,2098000000,0,47.424,47.424,4.5679,2.8362,9583.51
04110003,1633,1633000000,0,29.498,29.498,5.1962,3.3525,8485.42
04110004,1828,1828000000,0,18.629,18.629,4.4101,1.5327,8061.58
04120101,2230,2230000000,0,24.674,24.674,5.6344,3.1933,12564.8
04130002,3688,3688000000,0,45.92,45.92,4.1071,3.3226,15147.1
