HUC_8,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
02050104,3583,3583000000,32.828,62.595,29.767,42.3215,4.7081,151638
02050106,5190,5190000000,36.888,61.495,24.607,44.9899,2.9962,233498
02050107,4582,4582000000,36.491,54.681,18.19,46.3874,3.0084,212547
02050201,4133,4133000000,37.118,51.492,14.374,43.6241,2.4191,180298
02050202,2682,2682000000,35.377,53.386,18.009,43.6726,2.7062,117130
02050203,2027,2027000000,36.999,52.513,15.514,43.8614,2.7909,88907
02050204,2001,2001000000,37.355,49.765,12.41,41.4039,2.1469,82849.3
02050205,2542,2542000000,33.977,57.244,23.267,45.0867,3.8289,114610
02050206,4673,4673000000,38.969,56.694,17.725,46.134,3.1439,215584
02050302,2566,2566000000,35.901,49.997,14.096,40.9998,2.5265,105205
02050303,2487,2487000000,33.104,54.92,21.816,39.8899,3.2856,99206.1
02070001,3833,3833000000,32.163,58.375,26.212,42.0081,4.9118,161017
02070002,3477,3477000000,35.471,54.798,19.327,42.9006,4.3185,149165
03150105,4144,4144000000,51.577,71.091,19.514,59.0549,3.0478,244724
03150106,6688,6688000000,50.904,71.851,20.947,57.7024,3.3586,385914
03150202,4733,4733000000,53.816,70.274,16.458,62.5508,2.9593,296053
03160101,4662,4662000000,52.954,67.276,14.322,59.3536,2.7884,276706
03160103,2247,2247000000,58.46,66.022,7.562,61.7416,1.4364,138733
03160105,2062,2062000000,56.181,66.219,10.038,61.0142,1.5072,125811
03160106,4225,4225000000,51.337,63.381,12.044,57.1782,2.3101,241578
03160107,2041,2041000000,54.57,64.917,10.347,60.3408,2.124,123156
03160109,3562,3562000000,56.569,69.641,13.072,61.1745,2.4618,217904
03160110,2582,2582000000,58.578,65.747,7.169,62.2623,1.2719,160761
03160111,3136,3136000000,51.021,69.09,18.069,58.9085,3.1485,184737
03160112,3218,3218000000,55,70.2,15.2,62.7375,3.1253,201889
03160113,3761,3761000000,56.727,65.903,9.176,61.3125,1.7248,230596
04100011,4705,4705000000,32.553,40.672,8.119,37.5488,1.364,176667
04100012,1971,1971000000,34.962,40.778,5.816,38.4248,1.1248,75735.3
04110001,2313,2313000000,34.203,42.317,8.114,38.2681,1.3615,88514.2
04110002,2098,2098000000,32.75,42.477,9.727,38.3479,1.7158,80453.9
04110003,1633,1633000000,32.311,42.513,10.202,36.8534,2.6,60181.6
04110004,1828,1828000000,33.339,42.399,9.06,36.6556,1.8198,67006.4
04120101,2230,2230000000,33.064,51.286,18.222,38.934,3.1591,86822.8
04130002,3688,3688000000,30.541,54.488,23.947,42.775,3.7368,157754
05010001,6724,6724000000,34.717,55.199,20.482,44.2326,3.4985,297420
05010002,2330,2330000000,36.133,51.286,15.153,43.2264,2.3739,100718
05010003,4361,4361000000,35.222,46.059,10.837,41.5196,1.9238,181067
05010004,3197,3197000000,35.186,45.903,10.717,39.75,2.1856,127081
05010005,3230,3230000000,36.052,53.14,17.088,43.0518,2.8555,139057
05010006,4361,4361000000,34.835,49.17,14.335,40.7647,2.1749,177775
05010007,3560,3560000000,35.463,50.897,15.434,42.011,2.5397,149559
05010008,1333,1333000000,34.399,51.61,17.211,39.0562,3.2117,52062
05010009,1283,1283000000,33.854,41.685,7.831,38.2858,1.719,49120.6
05020001,3564,3564000000,43.652,77.9859,34.3339,56.8722,6.2599,202693
05020002,2280,2280000000,43.5,59.251,15.751,50.6427,2.5366,115465
05020003,1200,1200000000,40.422,55.192,14.77,47.036,2.6298,56443.2
05020004,3679,3679000000,40.7,68.221,27.521,52.2329,4.0447,192165
05020005,3819,3819000000,33.615,53.342,19.727,39.3455,3.2315,150261
05020006,4570,4570000000,33.817,58.454,24.637,44.4264,4.8358,203029
05030101,5142,5142000000,34.205,44.875,10.67,39.5521,1.7665,203377
05030102,2761,2761000000,33.889,42.312,8.423,37.3867,1.5152,103225
05030103,2958,2958000000,34.278,41.922,7.644,37.6638,1.5895,111410
05030104,291,291000000,35.544,41.572,6.028,38.4967,1.3202,11202.5
05030105,2168,2168000000,36.407,42.278,5.871,39.3025,0.96555,85207.7
05030106,3915,3915000000,37.948,49.716,11.768,43.8923,2.0244,171838
05030201,4696,4696000000,41.257,55.07,13.813,48.0777,2.3148,225773
05030202,3673,3673000000,43.072,57.035,13.963,49.1374,2.8046,180482
05030203,5980,5980000000,46.252,71.256,25.004,53.0028,2.968,316957
05030204,3101,3101000000,39.404,50.191,10.787,44.2207,1.9457,137128
05040001,6715,6715000000,37.036,46.692,9.656,41.0389,1.9657,275577
05040002,2608,2608000000,35.228,44.874,9.646,40.3184,1.8043,105150
05040003,3228,3228000000,37.628,46.885,9.257,41.8576,1.8729,135116
05040004,4066,4066000000,40.901,53.579,12.678,46.3055,2.8428,188278
05040005,2204,2204000000,40.821,52.394,11.573,45.2411,1.6402,99711.4
05040006,2019,2019000000,40.823,46.734,5.911,43.5468,0.8531,87920.9
05050002,4348,4348000000,38.97,62.791,23.821,45.4802,3.3424,197748
05050003,4256,4256000000,40.466,64.725,24.259,47.1044,3.1732,200476
05050004,1794,1794000000,40.818,57.749,16.931,48.444,2.8279,86908.5
05050005,3677,3677000000,45.822,66.609,20.787,55.9928,3.8762,205886
05050006,1338,1338000000,44.443,57.792,13.349,51.1101,2.8985,68385.3
05050007,3978,3978000000,46.563,72.992,26.429,57.3364,4.1442,228084
05050008,2393,2393000000,44.089,58.809,14.72,50.1803,3.3232,120081
05050009,2311,2311000000,44.994,63.417,18.423,52.4604,3.3647,121236
05060001,8283,8283000000,33.184,45.428,12.244,39.104,2.5951,323898
05060002,5617,5617000000,38.187,50.939,12.752,44.1792,2.8757,248155
05060003,2964,2964000000,39.284,50.665,11.381,43.5528,2.0045,129091
05070101,2430,2430000000,44.408,63.295,18.887,52.0094,4.2117,126383
05070102,1917,1917000000,44.914,62.153,17.239,51.4634,3.4966,98655.4
05070201,4034,4034000000,45.583,63.969,18.386,53.3029,3.4342,215024
05070202,3138,3138000000,50.194,66.772,16.578,56.82,2.0738,178301
05070203,2877,2877000000,41.847,64.997,23.15,52.733,4.4801,151713
05070204,1067,1067000000,42.434,55.628,13.194,49.4876,3.0416,52803.3
05090101,3776,3776000000,42.046,50.314,8.268,46.7788,1.417,176637
05090102,1151,1151000000,42.438,63.424,20.986,51.561,3.8803,59346.7
05090103,2614,2614000000,38.494,62.003,23.509,46.812,3.7918,122367
05090104,1875,1875000000,40.429,59.481,19.052,48.3695,3.7643,90692.8
05090201,5448,5448000000,38.14,57.906,19.766,48.6231,2.4553,264899
05100101,7199,7199000000,46.212,62.123,15.911,51.8915,2.4517,373567
05100102,2391,2391000000,47.318,56.022,8.704,50.602,1.1911,120989
05100201,3429,3429000000,47.712,68.541,20.829,55.5714,3.1303,190554
05100202,1444,1444000000,50.587,70.076,19.489,58.6974,3.9427,84759
05100203,1939,1939000000,53.663,68.422,14.759,58.4026,1.7846,113243
05100204,2840,2840000000,46.216,60.862,14.646,54.154,3.2111,153797
05100205,8395,8395000000,45.702,63.462,17.76,51.2232,2.3445,430018
05110001,8121,8121000000,44.245,65.037,20.792,53.0325,4.2383,430677
05130101,6044,6044000000,54.519,80.748,26.229,61.2867,3.7232,370417
05130102,1978,1978000000,50.195,62.946,12.751,58.3341,2.3811,115385
05130103,4872,4872000000,50.27,64.639,14.369,57.2856,2.3807,279096
05130104,3586,3586000000,55.11,82.644,27.534,61.9851,5.0984,222279
05130105,2455,2455000000,53.223,72.83,19.607,60.4968,4.9414,148520
05130106,2057,2057000000,55.943,71.885,15.942,64.3568,2.8005,132382
05130107,2037,2037000000,61.289,81.377,20.088,69.0968,4.3166,140750
05130108,4657,4657000000,57.596,90.749,33.153,70.1302,6.8656,326596
05130203,2418,2418000000,50.781,82.004,31.223,58.4099,4.3941,141235
06010201,3504,3504000000,56.534,92.677,36.143,64.1634,7.476,224828
