HUC_8,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
02050104,3583,3583000000,36.645,64.719,28.074,49.0478,4.7508,175738
02050106,5190,5190000000,43.654,70.279,26.625,51.2953,4.4938,266223
02050107,4582,4582000000,43.578,71.737,28.159,54.4864,4.8516,249657
02050201,4133,4133000000,47.713,61.534,13.821,53.581,2.5954,221450
02050202,2682,2682000000,47.712,62.2,14.488,55.7473,2.2426,149514
02050203,2027,2027000000,45.31,60.073,14.763,53.8079,2.8321,109069
02050204,2001,2001000000,45.51,61.494,15.984,52.1365,3.3737,104325
02050205,2542,2542000000,43.777,61.217,17.44,53.8848,3.1212,136975
02050206,4673,4673000000,43.536,70.314,26.778,53.2942,4.4731,249044
02050302,2566,2566000000,41.297,66.333,25.036,49.0153,4.2949,125773
02050303,2487,2487000000,40.902,58.418,17.516,46.011,3.1292,114429
02070001,3833,3833000000,34.249,70.073,35.824,46.0394,5.9737,176469
02070002,3477,3477000000,41.059,70.545,29.486,49.2685,6.4198,171307
03150105,4144,4144000000,54.01,79.559,25.549,66.3805,6.2614,275081
03150106,6688,6688000000,53.774,80.551,26.777,61.9985,3.8298,414646
03150202,4733,4733000000,52.439,75.002,22.563,58.6284,3.5293,277488
03160101,4662,4662000000,60.115,75.824,15.709,66.8873,2.7501,311829
03160103,2247,2247000000,62.274,72.835,10.561,67.7046,1.7941,152132
03160105,2062,2062000000,59.724,73.502,13.778,65.1548,2.5723,134349
03160106,4225,4225000000,56.459,65.553,9.094,59.8491,1.5865,252862
03160107,2041,2041000000,55.904,72.521,16.617,62.9222,5.2425,128424
03160109,3562,3562000000,62.715,74.837,12.122,68.0727,2.1613,242475
03160110,2582,2582000000,65.04,73.583,8.543,69.4184,1.4035,179238
03160111,3136,3136000000,59.37,75.473,16.103,65.5449,2.707,205549
03160112,3218,3218000000,55.385,70.348,14.963,61.7075,3.1216,198575
03160113,3761,3761000000,53.186,63.506,10.32,58.4039,1.8884,219657
04100011,4705,4705000000,27.08,37.006,9.926,30.3478,2.0969,142786
04100012,1971,1971000000,27.28,35.664,8.384,31.257,1.3463,61607.6
04110001,2313,2313000000,27.163,38.895,11.732,32.6765,1.9531,75580.7
04110002,2098,2098000000,30.821,43.413,12.592,36.3411,2.4838,76243.6
04110003,1633,1633000000,32.043,46.219,14.176,39.3069,3.0803,64188.1
04110004,1828,1828000000,36.368,44.529,8.161,41.1135,1.5767,75155.5
04120101,2230,2230000000,39.397,57.715,18.318,46.1309,3.5686,102872
04130002,3688,3688000000,29.007,58.767,29.76,44.2298,6.682,163120
05010001,6724,6724000000,43.653,68.54,24.887,55.6225,4.156,374006
