HUC_8,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
03160106,9.7617,3.1554,8.7244,12.3892,7.6459,5.3455,4.9824,4.7392,6.351,11.148,7.9966,10.779,8.1062,5.3102,7.3072,8.0879,7.1025,9.2712,7.8215,4.9794,5.5031,9.0674,8.8454,9.2682,8.2957,7.1103,7.6372,2.2295,7.249,12.1771,5.5118,6.2215
03160107,13.4867,4.9204,13.1248,18.1719,10.7828,7.8185,7.195,6.9928,8.6546,15.8892,11.7401,14.9414,9.9934,7.2415,10.1185,10.85,11.379,13.0802,11.5495,7.8886,8.3187,13.283,11.918,13.9676,11.9258,10.3337,11.0812,3.2616,10.6485,18.5344,7.6951,9.864
03160109,12.5908,6.4991,11.9089,13.7822,10.3365,8.6635,6.7486,7.5949,7.9251,14.0849,11.0121,12.6573,8.7113,7.8938,10.7362,10.258,11.603,12.5265,11.9085,7.8529,7.6161,12.7397,11.7658,11.8665,11.9208,8.85,10.7543,3.6052,10.7815,16.7846,8.0358,11.2649
03160110,10.5847,6.3386,11.0792,11.7526,8.9645,8.1185,6.4915,7.3086,7.3893,12.8317,10.3298,10.7447,8.374,7.3604,9.9552,9.8196,11.0365,12.5217,10.5805,7.4271,6.6902,12.0821,10.0158,11.689,9.9759,8.6491,9.4676,3.8771,10.3456,15.2013,7.3488,10.4473
03160111,11.499,7.0459,12.6014,12.7162,10.5483,8.2356,6.1137,8.3152,8.7267,15.1033,11.0562,10.19,9.4904,8.0507,11.7038,10.2455,11.2173,13.3119,12.1113,8.0577,7.7937,11.5724,12.6145,11.0038,11.6122,9.1513,10.2138,4.0058,10.9955,16.7367,8.6387,11.227
03160112,13.5845,5.9868,14.2905,18.6484,9.9598,8.6591,7.0467,8.9208,8.8581,15.5702,12.0023,13.0966,9.83,7.5117,11.1058,10.457,12.1328,13.9293,12.9642,8.5589,8.993,13.9813,13.3633,13.7217,12.388,11.7823,11.7546,4.0274,10.7147,19.3738,8.1892,9.7306
03160113,10.8735,4.694,10.7659,15.77,7.8372,5.305,6.7006,6.6895,7.0952,11.8989,9.0435,10.7223,9.399,5.877,8.3194,8.7917,7.5308,11.5432,9.746,6.3364,6.2781,10.4209,9.3052,9.2605,9.0255,9.5062,8.6449,3.158,7.4369,13.2096,5.8834,7.4987
04100011,2.5766,3.8722,5.8238,4.1054,4.0381,4.6975,4.9524,2.1916,2.6767,2.4407,5.7037,1.8757,5.0134,4.2404,2.3232,3.1697,4.8057,3.4211,3.0335,3.0822,2.0291,3.7248,3.3855,4.2691,4.2657,4.8129,4.151,4.386,4.2972,2.1427,2.6617,8.6748
04100012,2.8559,3.0499,6.61,5.3589,4.8802,5.4321,5.9383,3.1149,2.9042,3.4623,6.8634,2.3495,5.8945,5.2554,3.0011,3.9757,6.6027,4.2506,3.9082,3.6819,2.9108,3.9657,4.5947,5.2246,5.6505,5.9213,5.1945,5.7465,5.6062,2.9951,3.6205,10.7868
04110001,2.8579,2.4069,5.0491,4.4123,4.442,4.4105,4.5916,2.3125,3.1565,3.4282,6.0176,1.9254,4.7425,4.2094,2.3276,2.8332,6.2194,3.5328,3.264,3.4348,2.5736,3.5501,4.0987,4.7502,5.2217,4.929,4.526,5.0753,4.5757,2.8248,2.9261,8.2079
04110002,5.9581,6.0222,8.2147,7.4451,9.1512,7.322,7.4008,4.3494,5.573,5.5549,9.7717,3.1046,7.9223,7.5209,4.7499,4.5679,10.6851,5.9661,5.2162,5.8707,4.1598,5.6779,6.073,8.7115,7.4794,8.1501,8.6423,8.2999,7.1342,5.0072,4.7181,13.7553
04110003,4.5625,5.4473,6.3083,5.8135,6.9072,6.3755,6.7266,5.4361,5.6025,5.5917,9.9516,4.2646,7.539,6.9013,4.6647,5.1962,10.6898,5.6669,4.4251,5.3274,3.948,4.857,5.9088,7.3261,5.5805,7.4061,8.0557,7.5663,7.6079,4.8366,3.9683,12.2409
04110004,4.2379,4.3532,5.0377,5.1475,5.731,5.1004,5.6303,4.6163,4.9442,4.7204,7.8082,3.4029,6.484,5.7906,4.1313,4.4101,8.425,4.59,3.6535,4.5793,3.0589,4.0832,4.9044,6.2181,4.7337,5.913,6.9753,5.9513,5.8473,3.8873,3.4564,10.0542
04120101,7.1925,6.1859,7.082,6.7837,7.097,7.5687,7.9973,6.7827,6.2269,6.3701,11.4979,5.109,9.0152,7.2827,6.8483,5.6344,11.6293,7.3924,4.7271,5.9615,5.1577,5.391,8.5004,7.7063,7.6493,8.2931,9.27,6.8764,8.156,6.2285,5.6163,12.2406
04130002,4.8588,5.4447,6.1565,5.0186,8.3804,6.4559,6.8133,5.3989,4.5167,7.0487,9.6228,5.0614,9.1576,6.2803,6.8618,4.1071,9.1631,6.6162,5.6243,5.8928,5.8804,5.4002,7.4952,9.1827,7.5352,7.6281,8.6784,6.0155,7.1572,5.2444,5.9129,11.5687
05010001,8.5246,9.1495,10.6532,8.0332,13.2966,9.4138,9.8698,9.8409,7.8542,10.5422,17.2661,6.9061,14.7793,11.461,12.6302,7.0737,16.5552,10.0131,7.9665,8.7916,6.2641,8.5377,10.4754,13.7976,11.0156,10.4944,12.9925,9.924,10.3075,9.1349,7.0239,17.2907
05010002,6.6886,5.8929,7.1671,6.0085,7.7184,7.2153,7.71,6.8967,7.3228,7.565,12.1573,6.2181,10.2629,6.8921,7.6822,5.5836,10.3151,7.7895,4.621,6.0356,4.8319,5.999,8.0471,7.4486,6.7977,6.7641,8.6347,6.3453,6.829,7.978,5.7435,10.5766
05010003,8.6836,8.7268,8.5569,8.1656,10.406,9.7566,9.1634,9.3388,7.9516,10.2495,15.047,5.8563,12.0115,9.6992,11.0902,7.2812,13.127,8.9305,6.3637,8.5953,5.0986,7.1742,8.9575,11.5051,10.0003,8.881,11.8566,9.8167,9.7454,7.9145,6.1391,16.3437
05010004,7.2472,6.7648,6.8123,6.5941,7.5264,7.4307,6.9994,6.8956,6.8986,6.9863,11.3613,4.3087,9.5783,6.8753,6.7664,5.654,10.6057,7.6711,4.8912,6.1039,4.8526,5.4116,7.1363,8.3257,7.6632,7.0483,9.3635,7.0195,7.2275,6.3273,4.7638,12.6274
05010005,9.0678,8.8013,9.7337,9.7128,12.8462,10.2971,10.6457,8.9305,7.8927,10.7698,15.0549,6.1031,13.3616,11.3149,12.8872,8.2617,15.1794,9.9008,7.7974,10.6969,6.0708,7.4978,10.1285,12.0788,11.4062,10.0636,11.9971,10.8455,9.9477,7.9096,5.9428,17.005
05010006,7.8784,6.8263,7.1751,8.2774,10.5794,7.5964,10.2419,6.7651,5.0508,8.4003,11.4224,4.6133,9.5578,9.2093,10.1158,6.0594,11.5388,8.5853,6.6564,8.6876,5.7219,5.787,9.4555,10.1869,9.8864,8.4537,9.1341,10.718,8.6475,7.0056,5.6336,14.5593
05010007,8.8083,7.8468,8.0131,10.3604,12.6926,9.1133,10.0686,8.4237,7.747,11.1368,12.0239,7.1792,7.9033,10.8524,9.5072,5.6303,13.7612,9.1241,7.2135,8.0061,6.1872,6.0261,9.5622,12.9506,10.7139,9.1408,8.0304,11.0124,9.2355,6.2346,7.095,14.9762
05010008,6.8557,6.9548,6.7024,7.8715,9.8725,7.6148,9.3915,7.1414,5.3213,9.1244,9.4385,5.8417,7.3691,8.3581,8.7503,4.8383,11.4236,7.2561,5.1659,7.4138,5.9923,4.9923,8.2765,10.3377,8.8313,7.866,7.8353,10.6685,8.5292,5.7812,5.9932,12.9093
05010009,5.5406,4.7776,5.4081,6.8669,8.103,6.5666,7.416,5.4941,3.6748,6.8751,8.5083,3.794,6.592,6.5796,8.0304,3.8421,8.012,6.3343,4.5592,6.1551,4.1467,4.9486,7.1663,7.1745,7.6095,6.8299,6.195,9.3196,6.6896,4.6993,4.7766,11.398
05020001,10.8458,10.3865,11.8326,11.292,15.3447,9.6727,12.0237,8.2448,7.2119,14.2071,12.9592,9.9821,8.8404,11.0349,11.6347,8.4304,17.6835,10.1105,12.4202,9.5865,6.8898,8.3403,12.2824,15.6055,14.1157,11.3214,9.2517,11.2793,11.1273,10.3014,7.6536,15.7208
05020002,9.7589,7.9962,8.7561,9.9201,10.9718,7.9544,11.1086,4.8355,5.3515,13.3645,11.7654,9.2465,7.126,10.0519,12.4727,7.4397,17.5165,7.9719,10.0978,8.0254,4.2597,5.7713,10.8873,13.212,11.7838,9.4634,7.4937,9.8004,11.1632,7.0661,5.5978,14.8683
