HUC_8,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
02050104,3583,3583000000,0,42.369,42.369,4.4212,2.3085,15841.3
02050106,5190,5190000000,0,32.307,32.307,5.4652,1.8984,28364.1
02050107,4582,4582000000,0,40.243,40.243,6.4137,2.8222,29387.6
02050201,4133,4133000000,0,30.05,30.05,6.7239,2.4927,27790
02050202,2682,2682000000,2.646,21.564,18.918,9.5498,2.1376,25612.7
02050203,2027,2027000000,0,22.818,22.818,6.965,1.8835,14118.2
02050204,2001,2001000000,0,24.288,24.288,6.7664,2.8988,13539.5
02050205,2542,2542000000,0,23.513,23.513,5.6984,2.1509,14485.2
02050206,4673,4673000000,0,35.497,35.497,5.6634,2.6225,26465.1
02050302,2566,2566000000,0,14.987,14.987,5.0588,2.1648,12980.9
02050303,2487,2487000000,0,18.945,18.945,5.2272,1.9916,12999.9
02070001,3833,3833000000,0,39.92,39.92,3.9314,3.9636,15068.9
02070002,3477,3477000000,0,27.289,27.289,6.4355,3.9495,22376.1
03150105,4144,4144000000,0,26.397,26.397,7.3458,3.6368,30441.1
03150106,6688,6688000000,0,31.23,31.23,6.9062,3.2489,46188.7
03150202,4733,4733000000,0,37.032,37.032,6.7664,3.3719,32025.5
03160101,4662,4662000000,0,23.316,23.316,3.3883,1.86,15796.3
03160103,2247,2247000000,0,27.443,27.443,5.1414,2.4209,11552.6
03160105,2062,2062000000,0,34.166,34.166,4.81,2.0945,9918.17
03160106,4225,4225000000,0,32.997,32.997,3.1554,2.1684,13331.7
03160107,2041,2041000000,0,43.426,43.426,4.9204,2.4198,10042.5
03160109,3562,3562000000,0,41.773,41.773,6.4991,4.5336,23149.9
03160110,2582,2582000000,0,44.772,44.772,6.3386,3.3992,16366.3
03160111,3136,3136000000,0,24.268,24.268,7.0459,4.0055,22096
03160112,3218,3218000000,0,60.059,60.059,5.9868,3.4502,19265.6
03160113,3761,3761000000,0,37.316,37.316,4.694,2.8674,17654.2
04100011,4705,4705000000,0,39.741,39.741,3.8722,2.3276,18218.6
04100012,1971,1971000000,0,16.651,16.651,3.0499,1.7071,6011.4
04110001,2313,2313000000,0,14.371,14.371,2.4069,1.145,5567.07
04110002,2098,2098000000,0,46.335,46.335,6.0222,3.9054,12634.6
04110003,1633,1633000000,0,31.277,31.277,5.4473,3.5177,8895.38
04110004,1828,1828000000,0,21.652,21.652,4.3532,1.6415,7957.56
04120101,2230,2230000000,0,29.672,29.672,6.1859,3.655,13794.5
04130002,3688,3688000000,0,59.017,59.017,5.4447,4.1554,20079.9
05010001,6724,6724000000,0,76.776,76.776,9.1495,4.906,61521.4
05010002,2330,2330000000,0,76.748,76.748,5.8929,4.2186,13730.5
05010003,4361,4361000000,0,72.171,72.171,8.7268,6.6551,38057.7
05010004,3197,3197000000,0,80.435,80.435,6.7648,5.1461,21627.2
05010005,3230,3230000000,0,59.145,59.145,8.8013,3.8333,28428.1
05010006,4361,4361000000,0,33.583,33.583,6.8263,2.1789,29769.4
05010007,3560,3560000000,0,48.866,48.866,7.8468,3.0486,27934.5
05010008,1333,1333000000,0,18.839,18.839,6.9548,2.5495,9270.7
05010009,1283,1283000000,0,10.023,10.023,4.7776,1.8686,6129.61
05020001,3564,3564000000,0,24.895,24.895,10.3865,2.2668,37017.5
05020002,2280,2280000000,0,37.515,37.515,7.9962,1.8514,18231.3
05020003,1200,1200000000,0,37.043,37.043,8.127,2.7015,9752.35
05020004,3679,3679000000,0,51.653,51.653,11.2546,3.3501,41405.6
05020005,3819,3819000000,0,18.374,18.374,4.8064,2.1145,18355.7
05020006,4570,4570000000,0,42.694,42.694,8.236,3.9307,37638.6
05030101,5142,5142000000,0,35.37,35.37,5.2869,2.5027,27185
05030102,2761,2761000000,0,61.842,61.842,4.3678,3.6311,12059.6
05030103,2958,2958000000,0,27.835,27.835,3.6355,2.1681,10753.9
05030104,291,291000000,0,24.795,24.795,4.1308,2.4497,1202.07
05030105,2168,2168000000,0,33.392,33.392,5.1712,2.559,11211.2
05030106,3915,3915000000,0,24.634,24.634,5.7761,1.7529,22613.4
05030201,4696,4696000000,0,25.167,25.167,5.7236,1.7,26877.8
05030202,3673,3673000000,0,29.374,29.374,2.5975,1.2555,9540.75
05030203,5980,5980000000,0,18.603,18.603,5.499,1.5487,32883.9
05030204,3101,3101000000,0,23.71,23.71,5.1136,1.6418,15857.4
05040001,6715,6715000000,0,40.492,40.492,6.6337,3.0937,44545
05040002,2608,2608000000,0,30.82,30.82,5.4545,2.1288,14225.3
05040003,3228,3228000000,0,45.804,45.804,5.8601,2.9469,18916.3
05040004,4066,4066000000,0,29.477,29.477,4.7914,2.3524,19481.7
05040005,2204,2204000000,0,39.236,39.236,5.2288,2.2165,11524.3
05040006,2019,2019000000,0,36.211,36.211,5.7801,3.4806,11670.1
05050002,4348,4348000000,0,16.619,16.619,3.2465,2.0497,14115.6
05050003,4256,4256000000,0,28.986,28.986,6.7734,3.1845,28827.6
05050004,1794,1794000000,0,29.69,29.69,6.4695,2.3421,11606.2
05050005,3677,3677000000,0,44.792,44.792,10.3353,3.3293,38003.1
05050006,1338,1338000000,0,27.277,27.277,6.0445,1.942,8087.59
05050007,3978,3978000000,0,27.381,27.381,8.42,3.8729,33494.7
05050008,2393,2393000000,0,12.35,12.35,3.1433,1.1138,7521.81
05050009,2311,2311000000,0,45.667,45.667,7.9416,3.3027,18353
05060001,8283,8283000000,0,23.066,23.066,3.2965,1.8231,27304.8
05060002,5617,5617000000,0,20.661,20.661,3.7246,1.7044,20920.8
05060003,2964,2964000000,0,12.343,12.343,4.5896,1.9073,13603.6
05070101,2430,2430000000,0,20.211,20.211,9.1965,3.1627,22347.4
05070102,1917,1917000000,0,14.938,14.938,4.9723,2.1186,9531.96
05070201,4034,4034000000,2.775,19.678,16.903,6.8291,2.0151,27548.6
05070202,3138,3138000000,0,25.49,25.49,7.0069,2.1323,21987.8
05070203,2877,2877000000,0,34.173,34.173,5.4023,1.4432,15542.3
05070204,1067,1067000000,0,32.915,32.915,4.398,1.4654,4692.64
05090101,3776,3776000000,0,14.58,14.58,3.1621,1.3172,11940.1
05090102,1151,1151000000,0,13.893,13.893,5.609,1.9932,6455.92
05090103,2614,2614000000,0,14.596,14.596,2.8778,1.3152,7522.58
05090104,1875,1875000000,0,26.372,26.372,2.7409,1.8029,5139.23
05090201,5448,5448000000,0,23.718,23.718,3.7505,1.8247,20432.8
05100101,7199,7199000000,0,30.015,30.015,3.8324,2.2487,27589.7
05100102,2391,2391000000,0,9.034,9.034,2.34,1.1759,5594.98
05100201,3429,3429000000,0,15.195,15.195,6.166,1.7482,21143.1
05100202,1444,1444000000,0,22.457,22.457,7.6548,2.3385,11053.6
05100203,1939,1939000000,2.782,15.564,12.782,7.7445,1.2313,15016.5
05100204,2840,2840000000,0,52.149,52.149,6.0769,2.895,17258.4
05100205,8395,8395000000,0,19.385,19.385,2.7315,1.8412,22931
05110001,8121,8121000000,0,30.973,30.973,6.9658,2.9383,56569.6
05130101,6044,6044000000,0,35.633,35.633,9.289,3.6156,56142.6
05130102,1978,1978000000,0,21.039,21.039,7.7765,2.3182,15381.9
05130103,4872,4872000000,0,41.719,41.719,7.3928,3.2589,36017.8
05130104,3586,3586000000,0,25.004,25.004,9.159,2.7146,32844.1
05130105,2455,2455000000,0,34.299,34.299,8.5574,3.8953,21008.5
05130106,2057,2057000000,0,24.254,24.254,8.9801,3.2594,18472.1
05130107,2037,2037000000,0,37.812,37.812,8.9797,3.7964,18291.7
05130108,4657,4657000000,0,63.6,63.6,7.6998,3.8533,35857.8
05130203,2418,2418000000,0,21.941,21.941,4.3069,1.9935,10414
06010201,3504,3504000000,0,44.535,44.535,8.0569,4.7261,28231.2
06010205,5096,5096000000,0,47.887,47.887,7.0453,3.083,35903.1
06010206,2444,2444000000,0,31.395,31.395,8.8327,2.9619,21587.1
06010207,1642,1642000000,0,30.125,30.125,7.4017,2.8434,12153.6
06010208,2248,2248000000,0,34.957,34.957,10.0775,3.0415,22654.2
06020001,4842,4842000000,0,29.573,29.573,8.3482,4.3969,40421.8
06020004,1556,1556000000,3.006,21.049,18.043,10.2853,3.3389,16003.9
06030001,5161,5161000000,0,31.478,31.478,8.3346,4.5325,43015.1
06030002,7498,7498000000,0,25.202,25.202,5.9456,3.1025,44579.8
06030003,3320,3320000000,0,27.329,27.329,6.7637,3.0254,22455.5
06030004,2498,2498000000,0,27.416,27.416,6.2549,2.4099,15624.7
06030005,5905,5905000000,0,26.17,26.17,5.4568,2.8465,32222.2
06030006,2450,2450000000,0,64.91,64.91,5.2696,3.4142,12910.6
