HUC_8,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
02050104,3583,3583000000,0,54.985,54.985,5.5663,2.7242,19944.1
02050106,5190,5190000000,0,43.973,43.973,7.6779,2.0879,39848.5
02050107,4582,4582000000,0,76.31,76.31,8.9402,3.5282,40964.1
02050201,4133,4133000000,0,33.115,33.115,7.7599,2.8791,32071.5
02050202,2682,2682000000,3.561,22.469,18.908,11.1943,2.5653,30023.2
02050203,2027,2027000000,0,27.11,27.11,9.2484,2.2572,18746.5
02050204,2001,2001000000,0,23.049,23.049,9.0155,3.0307,18040
02050205,2542,2542000000,0,29.851,29.851,7.416,1.8804,18851.5
02050206,4673,4673000000,0,56.325,56.325,8.7944,3.4499,41096.3
02050302,2566,2566000000,0,19.804,19.804,7.6348,2.2661,19590.8
02050303,2487,2487000000,0,18.778,18.778,7.0505,2.2313,17534.6
02070001,3833,3833000000,0,59.891,59.891,9.259,5.0958,35489.8
02070002,3477,3477000000,0,35.597,35.597,7.3983,3.5807,25724
03150105,4144,4144000000,0,50.563,50.563,14.4414,6.8781,59845.1
03150106,6688,6688000000,0,75.825,75.825,15.7828,7.0301,105555
03150202,4733,4733000000,0,68.703,68.703,12.592,6.1301,59597.9
03160101,4662,4662000000,0,60.297,60.297,11.0424,5.6856,51479.8
03160103,2247,2247000000,0,74.202,74.202,16.4163,8.5055,36887.5
03160105,2062,2062000000,0,92.307,92.307,13.985,5.9119,28837.2
03160106,4225,4225000000,0,68.201,68.201,8.7244,5.2336,36860.7
03160107,2041,2041000000,0,95.179,95.179,13.1248,7.291,26787.7
03160109,3562,3562000000,0,87.698,87.698,11.9089,9.3596,42419.6
03160110,2582,2582000000,0,70.44,70.44,11.0792,6.3715,28606.6
03160111,3136,3136000000,0,42.898,42.898,12.6014,7.0119,39518.1
03160112,3218,3218000000,0,97.345,97.345,14.2905,10.0157,45986.8
03160113,3761,3761000000,0,65.925,65.925,10.7659,7.4021,40490.6
04100011,4705,4705000000,0,46.109,46.109,5.8238,3.094,27401
04100012,1971,1971000000,0,27.413,27.413,6.61,2.8126,13028.3
04110001,2313,2313000000,0,17.361,17.361,5.0491,1.6984,11678.6
04110002,2098,2098000000,0,63.896,63.896,8.2147,5.1036,17234.4
04110003,1633,1633000000,0,46.899,46.899,6.3083,3.9542,10301.5
04110004,1828,1828000000,0,20.782,20.782,5.0377,1.5725,9208.97
04120101,2230,2230000000,0,35.082,35.082,7.082,4.0933,15792.9
04130002,3688,3688000000,0,75.124,75.124,6.1565,5.0326,22705
05010001,6724,6724000000,0,98.125,98.125,10.6532,6.2206,71632.1
05010002,2330,2330000000,0,94.732,94.732,7.1671,5.4606,16699.4
05010003,4361,4361000000,0,76.429,76.429,8.5569,6.6796,37316.6
05010004,3197,3197000000,0,87.373,87.373,6.8123,5.4029,21779
05010005,3230,3230000000,0,67.554,67.554,9.7337,4.8566,31439.9
05010006,4361,4361000000,0,31.311,31.311,7.1751,1.9769,31290.8
05010007,3560,3560000000,0,44.52,44.52,8.0131,3.0962,28526.8
05010008,1333,1333000000,0,20.234,20.234,6.7024,2.5988,8934.3
05010009,1283,1283000000,0,10.039,10.039,5.4081,1.8283,6938.54
05020001,3564,3564000000,0,24.476,24.476,11.8326,2.4962,42171.3
05020002,2280,2280000000,0,35.041,35.041,8.7561,1.5935,19964
05020003,1200,1200000000,0,27.493,27.493,7.3221,1.9719,8786.47
05020004,3679,3679000000,0,60.073,60.073,11.835,3.5343,43540.9
05020005,3819,3819000000,0,15.357,15.357,4.8649,1.6153,18579.2
05020006,4570,4570000000,0,38.902,38.902,7.9931,3.7122,36528.3
05030101,5142,5142000000,0,43.743,43.743,6.5796,2.5736,33832.3
05030102,2761,2761000000,0,74.258,74.258,5.0639,4.2898,13981.5
05030103,2958,2958000000,0,42.148,42.148,5.1784,2.6696,15317.8
05030104,291,291000000,0,34.877,34.877,5.6493,3.0707,1643.95
05030105,2168,2168000000,0,38.609,38.609,5.9864,2.8055,12978.5
05030106,3915,3915000000,0,22.852,22.852,6.1088,1.3543,23915.9
05030201,4696,4696000000,0,26.814,26.814,7.5816,1.4104,35603.2
05030202,3673,3673000000,0,40.572,40.572,5.9938,2.1752,22015.1
05030203,5980,5980000000,0,19.286,19.286,8.2672,1.0254,49438.1
05030204,3101,3101000000,0,31.086,31.086,7.9329,2.0208,24599.8
05040001,6715,6715000000,0,41.262,41.262,8.2893,3.2228,55662.5
05040002,2608,2608000000,0,56.319,56.319,9.028,3.1656,23545
05040003,3228,3228000000,0,60.503,60.503,9.0105,3.741,29085.9
05040004,4066,4066000000,0,42.778,42.778,7.6335,2.6278,31037.8
05040005,2204,2204000000,0,34.813,34.813,7.1203,2.1703,15693.1
05040006,2019,2019000000,0,57.642,57.642,8.0809,4.2325,16315.3
05050002,4348,4348000000,0,30.247,30.247,8.9459,3.0221,38896.7
05050003,4256,4256000000,0,61.172,61.172,10.9254,3.7838,46498.5
05050004,1794,1794000000,0,32.643,32.643,9.2462,2.4755,16587.6
05050005,3677,3677000000,0,50.089,50.089,13.1966,4.2448,48524.1
05050006,1338,1338000000,0,32.219,32.219,10.2714,2.2184,13743.1
05050007,3978,3978000000,0,27.402,27.402,10.9116,3.2328,43406.5
05050008,2393,2393000000,0,16.925,16.925,6.8019,1.6741,16277
05050009,2311,2311000000,0,50.823,50.823,12.2893,3.1895,28400.7
05060001,8283,8283000000,0,27.8,27.8,5.7641,2.5414,47744.4
05060002,5617,5617000000,0,37.807,37.807,7.483,2.7459,42032
05060003,2964,2964000000,0,19.541,19.541,7.9378,2.6847,23527.5
05070101,2430,2430000000,0,24.197,24.197,12.1463,4.015,29515.5
05070102,1917,1917000000,0,19.018,19.018,9.841,2.7376,18865.2
05070201,4034,4034000000,4.948,39.749,34.801,11.1176,3.0652,44848.5
05070202,3138,3138000000,0,37.625,37.625,13.1003,2.8605,41108.7
05070203,2877,2877000000,0,49.657,49.657,11.657,2.2311,33537.3
05070204,1067,1067000000,0,50.042,50.042,8.089,2.4867,8630.91
05090101,3776,3776000000,0,23.814,23.814,6.8555,2.2384,25886.3
05090102,1151,1151000000,0,30.402,30.402,10.2784,3.4976,11830.4
05090103,2614,2614000000,0,39.494,39.494,6.6193,2.916,17302.9
05090104,1875,1875000000,0,53.348,53.348,5.9671,3.3933,11188.3
05090201,5448,5448000000,0,34.807,34.807,7.5553,3.231,41161.1
05100101,7199,7199000000,0,59.392,59.392,7.4307,3.9109,53493.9
05100102,2391,2391000000,2.465,18.542,16.077,6.3841,2.0916,15264.4
05100201,3429,3429000000,0,24.557,24.557,11.8757,2.5261,40721.6
05100202,1444,1444000000,0,35.512,35.512,13.4552,3.6629,19429.3
05100203,1939,1939000000,6.329,21.2,14.871,11.59,1.7893,22473
05100204,2840,2840000000,0,65.33,65.33,9.8689,4.0599,28027.8
05100205,8395,8395000000,0,25.112,25.112,6.016,2.5016,50504.2
05110001,8121,8121000000,0,51.703,51.703,11.2584,3.5977,91429.3
05130101,6044,6044000000,0,50.167,50.167,15.5406,5.3127,93927.6
05130102,1978,1978000000,0,27.349,27.349,13.2918,2.7988,26291.3
05130103,4872,4872000000,0,50.127,50.127,12.2176,4.4616,59524
05130104,3586,3586000000,0,35.32,35.32,12.9075,3.6533,46286.4
05130105,2455,2455000000,0,51.562,51.562,13.5387,6.0375,33237.4
05130106,2057,2057000000,0,37.368,37.368,14.4791,4.9131,29783.5
05130107,2037,2037000000,0,46.347,46.347,14.991,4.7158,30536.6
05130108,4657,4657000000,0,88.736,88.736,14.1273,6.4048,65791.1
05130203,2418,2418000000,0,36.228,36.228,9.692,3.7561,23435.2
06010201,3504,3504000000,0,57.51,57.51,15.2687,8.1569,53501.4
06010205,5096,5096000000,0,49.004,49.004,12.5216,4.4652,63810
06010206,2444,2444000000,0,39.068,39.068,15.234,4.6994,37231.8
06010207,1642,1642000000,0,42.965,42.965,13.3739,4.6529,21960
06010208,2248,2248000000,0,53.207,53.207,17.9453,5.4889,40341.1
06020001,4842,4842000000,0,44.557,44.557,15.0526,7.3145,72884.8
06020004,1556,1556000000,5.284,34.09,28.806,17.4634,4.9623,27173.1
06030001,5161,5161000000,0,35.491,35.491,12.4232,6.709,64116.2
06030002,7498,7498000000,0,37.486,37.486,11.0127,5.4972,82573.5
06030003,3320,3320000000,0,36.372,36.372,12.331,4.6731,40939
06030004,2498,2498000000,0,33.608,33.608,14.2238,3.1373,35531
06030005,5905,5905000000,0,36.063,36.063,12.4785,5.3632,73685.8
06030006,2450,2450000000,0,110.046,110.046,13.6793,9.5093,33514.2
06040002,3060,3060000000,0,27.393,27.393,10.4214,3.6443,31889.4
